shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
东鑫瑞数码专营店,599.0,当天发!华为畅玩20 8+128GB 全网通新款官方旗舰店官网正品手机,763424270927,78,广东 深圳,0,1,1,0,0,,4800+200,22,,2,4800
明迅数码,1230.0,Huawei/华为 NOVA 6 5G麒麟990芯片全网通学生备用游戏智能手机,721147144350,53,广东 深圳,0,1,1,0,0,麒麟990,4000,40,,1,4000
明迅数码,1738.0,Huawei/华为 P40 5G全网通直面屏麒麟990官方正品智能工作手机,748998465339,13,广东 深圳,0,1,1,0,0,麒麟990 5G,5000,22,,1,5000
苏宁易购官方旗舰店,2399.0,【晒单享10元红包】HUAWEI/<span class=H>华为</span>nova 11 前置6000万超广角人像昆仑玻璃超薄直面屏智能拍照<span class=H>手机</span><span class=H>华为</span>【2127】,713437002031,16,北京,1,0,1,0,0,高通骁龙™ 778G 4G,5000+800,66,,2,5000
苏宁易购官方旗舰店,1289.0,【送耳机+晒单返10元】Huawei/<span class=H>华为</span>畅享60Pro<span class=H>手机</span>长续航40W快充大屏大音量学生老人官方旗舰店智能<span class=H>华为</span><span class=H>手机</span>,752194394286,27,北京,1,0,1,0,0,高通骁龙™ 680,5000+200,40,,2,5000
中国电信官方旗舰店,999.0,【新品立减】HUAWEI/<span class=H>华为</span>畅享70 #大电池超长续航 6.75英寸影音大屏鸿蒙智能全网通<span class=H>手机</span><span class=H>华为</span>官方旗舰店正品60,753394782416,20,江苏 南京,1,1,1,0,0,,5000+200,22,,2,5000
三际数码官方旗舰店,949.0,【咨询客服可减300元】<span class=H>华为</span>/HUAWEI畅享70<span class=H>手机</span>官方旗舰店正品新款智能学生老人直降千元机畅享60鸿蒙4.0,753428343596,39,山东 济南,1,1,1,0,0,,5000+200,22,,2,5000
中国移动手机官方旗舰店,2259.0,【顺丰速发】Huawei/<span class=H>华为</span>nova12活力版<span class=H>手机</span>官方旗舰店新款nova 12 活力版正品鸿蒙通信智能<span class=H>手机</span>nova12活力版,736561461151,12,广东 东莞,1,1,1,0,0,高通骁龙™ 778G 4G,5000+800,66,,2,5000
领星数码店,529.0,Huawei/<span class=H>华为</span> 畅享20 Pro全网通5G智能<span class=H>手机</span>学生上网课老人千元备用,744226744341,100,广东 深圳,0,1,1,0,0,联发科天玑800（MT6873）,4800,22,,1,4800
佰分购旗舰店,949.0,【顺丰当天发 6期免息】HUAWEI/<span class=H>华为</span>畅享70<span class=H>手机</span>官方旗舰店官网正品学生老年千元机畅玩60X 70pro,753219348463,19,广东 深圳,1,1,1,0,0,,5000+200,22,,2,5000
中国移动手机官方旗舰店,899.0,【顺丰速发】<span class=H>华为</span>/HUAWEI畅享 70z<span class=H>手机</span>官方旗舰店正品新款智能学生老人直降千元机畅享70/70pro鸿蒙OS,770714945833,13,广东 广州,1,1,1,0,0,,1300,22,,1,1300
喵速达电器官方旗舰店,1469.0,【 阿里官方自营】HUAWEI/<span class=H>华为</span>nova10SE新款智能<span class=H>手机</span>鸿蒙拍照摄影学生<span class=H>华为</span>官方旗舰店,694834778306,25,浙江 杭州,1,1,0,0,0,高通骁龙™ 680,10000,66,,1,10000
喵速达电器官方旗舰店,899.0,【阿里官方自营】<span class=H>华为</span>/HUAWEI 畅享60 <span class=H>手机</span>6000mAh长续航直面屏鸿蒙智能<span class=H>手机</span>学生<span class=H>华为</span>,719387624799,16,浙江 杭州,1,1,0,0,0,8核,4800,22,,1,4800
翼天下天翼电信旗舰店,949.0,【官网正品+顺丰优先】<span class=H>华为</span>/HUAWEI畅享60<span class=H>手机</span>官方旗舰店正品新款智能直降学生老人千元畅享60鸿蒙系统<span class=H>手机</span>,708397123615,6,江苏 南京,1,1,1,0,0,,4800+200,22,,2,4800
中国移动手机官方旗舰店,1469.0,【新品】HUAWEI/<span class=H>华为</span>nova10SE 游戏拍照摄影OLED新款一亿像素长续航轻薄鸿蒙66W快充智能<span class=H>手机</span>nova10se,694270664220,18,浙江 金华,1,1,1,0,0,高通骁龙™ 680,1000019+80022+20024,66,,3,1000019
