shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
风飞数码专营店,1388.0,分期免息/送豪华礼 HUAWEI/华为Mate50 16+512GB新款旗舰5G曲面屏,763639347341,7,广东 深圳,0,1,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000
幸运数码正品店,1988.0,全新正品!华为Mate40 5G手机M40官方旗舰官网正品店官网mate40pro,768514041786,100,广东 深圳,0,0,1,0,0,麒麟9000,5000+2000+1200,66,,3,5000
久汇数码专营店,6599.0,【顺丰现货速发】Huawei<span class=H>华为</span><span class=H>Mate</span><span class=H>60</span>手机官方旗舰店鸿蒙系统官网正品新品<span class=H>mate</span><span class=H>60</span>直屏手机pro+,682173642902,5,广东 深圳,1,1,1,0,0,,5000+1200+1200,66,,3,5000
微微通讯,6258.0,【同城闪送】Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> 5G全网通 原装正品,741201433134,30,北京,0,0,1,0,0,,5000+1200+1200,66,,3,5000
米佳手机店,5208.0,正品Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span>官方旗舰5G鸿蒙麒麟双向北斗卫⁠星手机,772589651130,22,广东 珠海,0,0,1,0,0,,5000+1200+1200,66,,3,5000
鲁信数码手机店,6908.0,新款Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> Pro全新正品新品全网通<span class=H>华为</span>旗舰机现货,741021636395,12,河南 郑州,1,1,1,0,0,,5000+1200+4800,88,,3,5000
爱家宝通讯,10050.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> RS | ULTI<span class=H>MATE</span> DESIGN非凡大师<span class=H>mate</span><span class=H>60</span>rs手机,742055038651,20,北京,1,1,1,0,1,未公布,4800+4000+4800,88,,3,4800
彩虹品牌数码科技,1049.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> Pro,768471120966,23,北京,0,0,0,0,0,,5000+1200+4800,88,,3,5000
同步飞扬旗舰店,979.0,当天发【可减300元送碎屏宝】Huawei/<span class=H>华为</span>畅享<span class=H>60</span>手机官方旗舰正品p<span class=H>60</span>新品鸿蒙系统<span class=H>60</span>pro典藏版<span class=H>mate</span>北斗卫星12,709203529182,3,广东 深圳,1,1,1,0,0,,4800+200,22,,2,4800
中国电信官方旗舰店,7799.0,Huawei/<span class=H>华为</span><span class=H>mate</span> <span class=H>60</span> pro手机智能手机#<span class=H>华为</span><span class=H>mate</span><span class=H>60</span>系列手机全网通官方正品全新正品 昆仑玻璃鸿蒙新款遥遥领先,741936768090,1,江苏 南京,1,1,1,0,0,,5000+1200+4800,88,,3,5000
瑞娜电讯企业店,7699.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> Pro+ <span class=H>mate</span><span class=H>60</span>pro+<span class=H>mate</span><span class=H>60</span>pro<span class=H>mate</span><span class=H>60</span>pro加手机,753243896979,11,河北 唐山,0,1,1,0,0,,4800+4000+4800,88,,3,4800
大富豪数码通讯,1488.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span><span class=H>60</span>Pro+官网100Pro智能手机原装正品荣耀官方旗舰,774502204069,44,北京,0,0,0,0,0,,4800+4000+4800,88,,3,4800
诚信通讯商城,7698.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> Pro+全新遥遥领先现货原装卫星鸿蒙<span class=H>60</span>正品5G,738627929922,22,河南 郑州,0,1,1,0,0,,4800+4000+4800,88,,3,4800
星耀数码通讯,6558.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span>全新旗舰正品全网通鸿蒙麒麟芯手机双卡卫星,741294890148,5,北京,1,1,1,0,0,,5000+1200+1200,66,,3,5000
