shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
创宇嘉汇数码专营店,3799.0,分期免息!官方正品 HUAWEI/华为 nova12 Pro前置6000万人像追焦双,770663164188,6,广东 深圳,1,1,1,0,0,,5000+800,100,,2,5000
第一卫旗舰店,21.8,[二代昆仑]适用华为荣耀Mate60Pro手机膜mate40pro钢化p60全胶mat,706689762107,500,广东 深圳,0,0,0,0,0,,0,0,,1,0
xrace旗舰店,15.8,秒解锁华为mate40pro钢化膜p60p50手机膜x40荣耀50/70/80贴膜60,647189808108,2,广东 深圳,0,0,1,0,1,,0,0,,1,0
鲁信数码手机店,4789.0,新品现货Huawei/<span class=H>华为</span> <span class=H>P60</span>正品国行全新智能鸿蒙手机旗舰p50同系4,713178411184,16,河南 郑州,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
名品数码诚信的店铺,4438.0,新品Huawei/<span class=H>华为</span> <span class=H>P60</span> 正品<span class=H>华为</span><span class=H>p60</span>新款旗舰手机4G全网通国行鸿蒙,712994497056,18,北京,1,1,1,0,1,骁龙8+ 4G,4800+1300+1200,66,,3,4800
旭日远航数码专营店,2999.0,【直降1200元】现货秒发HUAWEI/<span class=H>华为</span><span class=H>P60</span>北斗卫星鸿蒙系统4G手机全网通拍照手机,741819026584,17,北京,0,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
杰诚电讯,2788.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>正品国行 新款全网通<span class=H>华为</span><span class=H>p60</span>p大屏游戏拍照手机,766143145490,13,河北 唐山,0,1,1,0,1,骁龙8+ 4G,4800+1300+1200,66,,3,4800
华荣原装正品体验店,4878.0,现货新款Huawei/<span class=H>华为</span> <span class=H>P60</span>直降官方旗舰正品8G+512G鸿蒙<span class=H>P60</span>Pro手机,713398448643,6,广东 深圳,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
三际数码官方旗舰店,5598.0,顺丰当天发【12期免息+送碎屏保】HUAWEI/<span class=H>华为</span><span class=H>P60</span> 手机官方旗舰店正品系列新品直降P50智能鸿蒙<span class=H>P60</span>pro,707682564432,3,山东 济南,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
理想手机店,2748.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> 手机原装正品<span class=H>华为</span><span class=H>p60</span>PRO新款旗舰手机4G全网通,773965399092,10,广东 广州,0,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
oksj数码旗舰店,5598.0,【24期免息】送碎屏保HUAWEI/<span class=H>华为</span><span class=H>P60</span>新款鸿蒙手机官方旗舰店官网正品<span class=H>华为</span><span class=H>p60</span>pro直降智能曲面屏手机,638593986695,4,广东 深圳,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
Mr Bo实体二十年线上店,2799.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> 全网通4G手机北斗卫星超聚光XMAGE影像曲面屏,729121066507,15,北京,0,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
久汇数码专营店,5499.0,顺丰当天发HUAWEI/<span class=H>华为</span><span class=H>P60</span>手机新品官方旗舰店官网正品旗舰新款<span class=H>p60</span>pro鸿蒙系统直降p50手机,708619557012,2,广东 深圳,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
同步飞扬旗舰店,979.0,当天发【可减300元送碎屏宝】Huawei/<span class=H>华为</span>畅享60手机官方旗舰正品<span class=H>p60</span>新品鸿蒙系统60pro典藏版mate北斗卫星12,709203529182,3,广东 深圳,1,1,1,0,0,,4800+200,22,,2,4800
创钻手机专营店,3188.0,【年终大促销+送豪礼】/Huawei<span class=H>华为</span><span class=H>p60</span>手机国行正品Huawei/<span class=H>华为</span> <span class=H>P60</span>全网通鸿蒙北斗卫星拍照手机,762692413963,3,河南 郑州,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
华耀原装正品主营店,4778.0,全新未激活Huawei/<span class=H>华为</span> <span class=H>P60</span>官方正品拍照鸿蒙旗舰手机<span class=H>p60</span>新机512G,712747053053,7,广东 深圳,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800
中宽通讯行,5888.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro 原装正品<span class=H>华为</span><span class=H>p60</span>pro旗舰手机全网通国行鸿蒙,712942910764,10,广东 深圳,1,1,1,0,1,骁龙8+ 4G,4800+1300+4800,88,,3,4800
千荨数码专店,999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro正品官方旗舰安卓荣耀100 Pro5G智能千元手机,770512451069,61,天津,0,0,0,0,0,,5000+1200+4800,88,,3,5000
