shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
三星宏远祥龙专卖店,2999.0,国行全新/原封未激活三星Samsung Galaxy A54 拍照手机官方旗舰店官网,728916269495,11,北京,1,1,1,0,1,三星Exynos1380,5000+1200+500,25,,3,5000
UVtang,4200.0,Samsung/三星 Galaxy Z Flip5 SM-F7310折叠zflip5代新款国行手机,731646961146,34,广东 深圳,1,0,1,1,1,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,1200+1200,25,,2,1200
远洋数码通讯,7000.0,Samsung/三星 Galaxy Z Flip5 SM-F7310新款zflip5折叠屏国行手机,765355056919,2,河南 郑州,0,0,1,0,0,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,1200+1200,25,,2,1200
新泰时尚,1600.0,Samsung/<span class=H>三星</span> Galaxy S21 5G SM-G9910国行双卡 S21+Ultra 曲屏,696377279747,52,广东 广州,0,1,1,0,0,高通骁龙888,1200+1200+6400,25,,3,6400
三星宏远祥龙专卖店,2269.0,【12期免息/国行全新原封未激活】<span class=H>三星</span>/Samsung Galaxy A54 拍照<span class=H>手机</span>官方旗舰店官网 120Hz超顺滑全视屏,710547038502,6,北京,1,1,1,0,1,三星Exynos1380,5000+1200+500,25,,3,5000
百亿补贴官方频道,4895.0,<span class=H>三星</span> Galaxy S24 新品智能<span class=H>手机</span>AI智能游戏拍照<span class=H>手机</span>官方百亿补贴,766049746041,7,浙江 杭州,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,25,,3,5000
三星官方旗舰店,2999.0,【新品抢购 赠25W充电头】Samsung/<span class=H>三星</span> Galaxy A55 5G智能拍照<span class=H>手机</span> 官方旗舰店官网正品 120Hz超顺滑全视屏,775628525807,0,北京,1,1,1,0,0,Exynos 1480,5000+1200+500,25,,3,5000
新泰时尚,2060.0,Samsung/<span class=H>三星</span> Galaxy S22 5G SM-S9010 国行S22+Ultra三网双卡5G,753589218622,40,广东 广州,0,1,1,0,0,高通 骁龙8 Gen1,1000,25,,1,1000
绚彩斑斓8,1520.0,Samsung/<span class=H>三星</span> Galaxy S22+国行双卡双待s22ultra 5G全网通S21<span class=H>手机</span>,773641960094,14,浙江 杭州,0,1,1,0,1,骁龙8移动平台,5000,45,,1,5000
糖糖数码商品店,1400.0,全新Samsung/<span class=H>三星</span> Galaxy S21+G9960国行S21Ultra5Gs20全网通<span class=H>手机</span>,699424043341,53,上海,0,1,1,0,1,高通骁龙888,1200,25,,1,1200
哈基米数码,1930.0,Samsung/<span class=H>三星</span>GalaxyNote20 Ultra5G国行note20双卡全网通曲屏<span class=H>手机</span>,755473622013,6,浙江 杭州,0,1,1,0,1,高通骁龙865+处理器,1200,25,,1,1200
鹏运数码城,1470.0,Samsung/<span class=H>三星</span> Galaxy S21+ 5G SM-G9960国行S21Ultra 三网双卡5G,673658878011,14,广东 深圳,0,1,1,0,0,高通骁龙888,1200,25,,1,1200
三星官方旗舰店,5699.0,【下单省600元】Samsung/<span class=H>三星</span> Galaxy S23+ 拍照摄影5G智能<span class=H>手机</span> 官方旗舰正品,697368284740,11,北京,1,1,0,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,45,,3,31000
称心数码,1180.0,Samsung/<span class=H>三星</span> Galaxy S20 SM-G9810国行双卡S20+5G新<span class=H>手机</span>S20ultra,759580043614,18,浙江 嘉兴,0,1,1,0,1,高通骁龙 SDM865,1200+1200+6400,25,,3,6400
亿轩优品店,1338.0,Samsung/<span class=H>三星</span> Galaxy S21 5G SM-G9910 S21+Ultra 国行<span class=H>手机</span>S20,672362372164,51,广东 深圳,0,1,1,0,0,高通骁龙888,1200+1200+6400,25,,3,6400
南洋数码,1350.0,全新Samsung/<span class=H>三星</span>Galaxy S20 国行S21+双卡全网通5G曲屏<span class=H>手机</span>Ultra,756773037204,9,浙江 温州,0,1,1,0,0,高通骁龙 SDM865,1200+1200+6400,25,,3,6400
百亿补贴官方频道,5999.0,<span class=H>三星</span> Galaxy S24+ 智能数码长续航游戏拍照<span class=H>手机</span>官方正品百亿补贴,765949100307,5,浙江 杭州,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,45,,3,5000
迈微数码,3050.0,Samsung/<span class=H>三星</span> Galaxy S23 SM-S9110全网通5G国行S23+<span class=H>手机</span>双卡正品,749581176698,31,上海,0,1,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
俊胜通讯,1458.0,Samsung/<span class=H>三星</span> Galaxy A53 5G SM-A5360国行全网通5G智能安卓<span class=H>手机</span>,714637538605,4,广东 深圳,0,1,1,0,0,Exynos 1280,6400+1200+500+500,25,,4,6400
数码电子科技通讯,1458.0,Samsung/<span class=H>三星</span> W23 Flip SM-W7023ZKACHC正品心系天下折叠屏5G<span class=H>手机</span>,766167523831,100,福建 莆田,0,1,1,0,0,骁龙8+ Gen 1,1200+1200,25,,2,1200
三星7天机授权企业店,3688.0,【限时12期免息】Samsung/<span class=H>三星</span> Galaxy S23+ SM-S9160 拍照<span class=H>手机</span>,727314267990,23,广东 广州,0,1,1,0,1,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,45,,3,31000
天道专柜,1520.0,Samsung/<span class=H>三星</span> Galaxy S22 5G SM-S9010国行正品5g<span class=H>手机</span>全网通Ultra,715424837508,7,上海,0,1,1,0,1,高通 骁龙8 Gen1,1000,25,,1,1000
星恒优品,1500.0,Samsung/<span class=H>三星</span> Galaxy Z Flip3 5G SM-F7110 5G全网通折叠翻盖<span class=H>手机</span>,767131448500,30,广东 深圳,0,1,1,0,0,高通骁龙 SDM888,1200,15,,1,1200
电讯数码,1289.0,Samsung/<span class=H>三星</span> Galaxy Z Flip4 SM-F7210小折叠屏4代全网通5G<span class=H>手机</span>,727277650534,27,广东 深圳,0,1,1,0,0,骁龙8Gen1Plus,1200+1200,25,,2,1200
俊胜通讯,2058.0,Samsung/<span class=H>三星</span> Galaxy S22 5G SM-S9010S22Ultra S22+国行全网通5G,740061811365,22,广东 深圳,0,1,1,0,0,高通 骁龙8 Gen1,1000,25,,1,1000
东同数码通讯,1170.0,Samsung/<span class=H>三星</span> Galaxy Note10+ SM-N9760 5G国行双卡全网note10,637926321596,12,广东 深圳,0,1,1,0,1,高通骁龙855,1600+1200+1200,45,,3,1600
逗逗通讯数码,4050.0,Samsung/<span class=H>三星</span> Galaxy S22 Ultra SM-S9080国行双卡 全网通5G 曲屏,753521939721,37,广东 深圳,0,1,1,0,0,骁龙8 移动平台,180000+1000+1200+1000,45,,4,180000
久汇数码专营店,4199.0,【国行正品 全新未激活】Samsung/<span class=H>三星</span> Galaxy S23 新品<span class=H>手机</span>官方旗舰店官网正品第二代骁龙8直降s22ultra,700022205069,12,广东 深圳,1,1,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
百兆电子,1500.0,Samsung/<span class=H>三星</span> Galaxy S20 SM-G9810 5G全新S20+ S20Ultra国行<span class=H>手机</span>,721307885263,18,浙江 杭州,0,1,1,0,1,高通骁龙 SDM865,1200+1200+6400,25,,3,6400
百兆电子,1040.0,Samsung/<span class=H>三星</span> Galaxy S20+ G9810 s20u 国行双卡全网通5G曲屏<span class=H>手机</span>,691478947357,34,浙江 杭州,0,1,1,0,1,高通骁龙 SDM865,1200+1200+6400,25,,3,6400
