shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
Sailing Digital,3599.0,Apple/苹果 iPhone 12 Pro Max国行双卡正品全网通苹果12手机,776276978184,1000,广东 深圳,0,0,1,1,0,A14,1200,18,,1,1200
华益数码通讯,9794.0,vivo X Fold3 Pro国行正品vivo折叠屏手机超薄全新上市,775632253685,0,广东 深圳,0,0,1,0,0,第三代骁龙8,5000+5000+6400,100,,3,6400
百亿补贴官方频道,4895.0,<span class=H>三星</span> Galaxy <span class=H>S24</span> 新品智能手机AI智能游戏拍照手机官方百亿补贴,766049746041,7,浙江 杭州,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,25,,3,5000
星海数码通讯,3458.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S24</span> SM-S9210新款<span class=H>S24</span> 全网通5G 国行手机,763896173274,26,广东 深圳,1,0,1,1,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,25,,3,5000
高森数码手机,6999.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S24</span>+ SM-S9260,765530334494,3,河南 郑州,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,45,,3,5000
微微通讯,7788.0,同城闪送Samsung/<span class=H>三星</span> Galaxy <span class=H>S24</span> Ultra SM-S9280,767839731480,7,北京,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,20000+5000+1200+1000,45,,4,20000
苏宁易购官方旗舰店,6399.0,【购机送好礼/晒单反100】<span class=H>三星</span>Galaxy <span class=H>S24</span>+5G手机Samsung国行<span class=H>三星</span><span class=H>S24</span><span class=H>S24</span>ultra1070,702994055633,12,广东 阳江,1,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,45,,3,5000
菠萝数码BOLO,4558.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S24</span> SM-S9210全新手机贴吧小红书菠萝数码,765378342940,7,广东 深圳,1,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,25,,3,5000
百亿补贴官方频道,5999.0,<span class=H>三星</span> Galaxy <span class=H>S24</span>+ 智能数码长续航游戏拍照手机官方正品百亿补贴,765949100307,5,浙江 杭州,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,45,,3,5000
成都科技前沿通讯,4749.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S24</span> SM-S9210旗舰手机原封官方全新国行<span class=H>S24</span>,770655776718,9,四川 成都,0,0,1,0,0,第三代骁龙8移动平台（for Galaxy）,5000+1000+1200,25,,3,5000
