iter	RMSE
0	321.9782813
1	320.8394614
2	319.2018511
3	317.5374059
4	316.668764
5	315.3424839
6	314.5467997
7	313.4073306
8	311.8173932
9	310.5944123
10	309.9507856
11	309.116553
12	308.6166717
13	308.1869854
14	307.1961469
15	305.9651758
16	305.1333557
17	303.3532924
18	301.7124292
19	301.4049072
20	300.4296813
21	299.2405767
22	298.9441518
23	297.7372775
24	296.9611257
25	296.715429
26	296.3779496
27	296.1424994
28	295.5693506
29	294.6208189
30	294.4656082
31	294.2211463
32	293.9037664
33	292.6699528
34	292.464638
35	292.3162501
36	291.1825183
37	290.6721934
38	290.1354932
39	289.9946955
40	289.1664376
41	288.9642572
42	288.8512827
43	288.5624939
44	287.9670248
45	287.7940927
46	286.7374367
47	286.0698803
48	285.9364433
49	285.2452412
50	285.0852209
51	284.0627735
52	283.0316845
53	282.8419914
54	282.7538733
55	281.7931346
56	281.462818
57	281.3948501
58	280.4558307
59	279.4106453
60	278.900206
61	278.7920785
62	278.4102978
63	278.2201934
64	277.7671759
65	277.6812058
66	277.551887
67	277.4327767
68	276.6773603
69	276.6616569
70	276.5057574
71	276.4282543
72	275.555518
73	275.5172791
74	275.4813438
75	274.6585137
76	274.6083195
77	274.5473282
78	274.5258611
79	273.6559967
80	273.3290994
81	273.1588703
82	273.0857142
83	272.7540945
84	272.107687
85	272.0967259
86	272.0689651
87	271.7428376
88	271.3606057
89	271.178696
90	270.8067237
91	270.7739293
92	270.7226983
93	270.6163937
94	270.5749795
95	270.5523448
96	270.0711157
97	270.070152
98	270.0315998
99	270.0307537
100	270.0219037
101	269.9958426
102	269.9180444
103	269.9161992
104	269.9151061
105	269.9077734
106	269.8786758
107	269.8680408
108	269.7611091
109	269.4821865
110	269.4818106
111	269.4377481
112	268.6422493
113	268.6186501
114	268.5942265
115	268.5932757
116	267.861556
117	267.085442
118	266.3403884
119	266.248506
120	266.2302677
121	265.8813036
122	265.1752299
123	265.0699459
124	265.0335634
125	265.0328916
126	264.064628
127	263.9653308
128	263.9406413
129	263.2033673
130	263.1817784
131	262.5017077
132	262.4672419
133	262.1426605
134	261.8641759
135	261.7627513
136	261.7369155
137	261.6847918
138	261.6504061
139	261.604206
140	261.5854163
141	261.55828
142	260.9048322
143	260.8680049
144	260.1472319
145	260.1465379
146	259.5259712
147	259.2387677
148	258.6254999
149	258.5254233
150	258.5070091
151	258.4889435
152	258.2170282
153	258.1881997
154	258.1709438
155	257.6264457
156	257.6008385
157	257.0723537
158	257.038788
159	256.7718986
160	256.2259472
161	256.2087306
162	256.1826124
163	255.6330204
164	255.6170191
165	255.6004547
166	255.0644341
167	254.5414386
168	254.0356202
169	254.0346113
170	253.953348
171	253.4976884
172	253.4780117
173	253.0044198
174	252.973406
175	252.6820945
176	252.4221554
177	252.1591365
178	252.1580405
179	251.6805189
180	251.2362387
181	251.2352698
182	250.7698275
183	250.367346
184	249.9404168
185	249.528871
186	249.2369949
187	248.9569603
188	248.9419705
189	248.451954
190	247.9834157
191	247.5855627
192	247.5705946
193	247.1501675
194	246.7120719
195	246.226926
196	245.8713657
197	245.8380446
198	245.5689097
199	245.5460793
200	245.2184701
201	244.5677671
202	244.3315416
203	243.7349296
204	243.505932
205	243.429408
206	243.1802306
207	242.8444283
208	242.2920605
209	242.2345666
210	242.1471034
211	241.9087204
212	241.8401254
213	241.4597568
214	241.1984905
215	240.8374213
216	240.519587
217	240.223946
218	239.8769923
219	239.3654561
220	238.9523491
221	238.657697
222	238.1671028
223	237.6608078
224	237.3271899
225	236.8333115
226	236.3783692
227	235.9160783
228	235.4657606
229	235.2282958
230	235.1712033
231	235.0877998
232	234.6356495
233	234.5793523
234	234.162375
235	233.7310813
236	233.645807
237	233.4068528
238	233.0520536
239	232.6391229
240	232.2582397
241	231.861995
242	231.4704075
243	231.1852724
244	231.1296713
245	230.7561213
246	230.3905075
247	230.3355728
248	230.1394892
249	230.0855537
250	229.7261883
251	229.3741763
252	229.3189657
253	228.9807501
254	228.9258165
255	228.5870382
256	228.5352096
257	228.4840529
258	228.4339081
259	228.3845815
260	228.2637682
261	227.9389197
262	227.8909791
263	227.5725891
264	227.2524992
265	227.2033543
266	227.1566643
267	227.1105877
268	227.0652783
269	226.758825
270	226.4585681
271	226.2305834
272	225.930083
273	225.8861034
274	225.8381356
275	225.5435102
276	225.4992245
277	225.2105205
278	225.1668218
279	225.1227173
280	225.0819756
281	224.798747
282	224.7569266
283	224.717364
284	224.4396862
285	224.3975762
286	224.3573894
287	224.0851468
288	224.0431887
289	223.7763946
290	223.5202113
291	223.4809043
292	223.4425825
293	223.4048935
294	223.2101926
295	222.95528
296	222.7056194
297	222.6689195
298	222.6301134
299	222.592133
300	222.3472288
301	222.1637979
302	221.9257601
303	221.6926302
304	221.6568937
305	221.4812305
306	221.2545317
307	221.2189461
308	221.0490222
309	220.9273967
310	220.7070507
311	220.4912498
312	220.2798974
313	220.0728991
314	219.8701626
315	219.8341722
316	219.6355067
317	219.4425821
318	219.4095316
319	219.2184695
320	219.1720448
321	219.1375636
322	219.1052251
323	218.9196795
324	218.7719034
325	218.5894111
326	218.5564379
327	218.3776156
328	218.2024783
329	218.1587888
330	218.1282088
331	218.0208083
332	217.8508189
333	217.6823937
334	217.6512084
335	217.4861656
336	217.3846065
337	217.3543695
338	217.3246508
339	217.1629155
340	217.1336289
341	217.0167432
342	216.8608484
343	216.8322363
344	216.6781844
345	216.5684933
346	216.476536
347	216.3272165
348	216.2037686
349	216.1762946
350	216.0312016
351	215.889079
352	215.7708475
353	215.7441132
354	215.6060148
355	215.579667
356	215.4656783
357	215.3299922
358	215.2330029
359	215.1874039
360	215.0559573
361	214.9651811
362	214.9397568
363	214.9147451
364	214.8729897
365	214.7628253
366	214.7236358
367	214.6582756
368	214.5503397
369	214.5266295
370	214.4268766
371	214.4035533
372	214.3806077
373	214.298723
374	214.1755367
375	214.054849
376	214.0322536
377	214.0100243
378	213.9881552
379	213.8867261
380	213.7696762
381	213.7360798
382	213.6379439
383	213.5421734
384	213.4267676
385	213.405912
386	213.3853944
387	213.273966
388	213.1629392
389	213.1305184
390	213.0217227
391	213.0014861
392	212.9815783
393	212.9619938
394	212.9427275
395	212.9118098
396	212.8928809
397	212.8633759
398	212.8328717
399	212.8046657
400	212.7144535
401	212.6260396
402	212.5232302
403	212.5054718
404	212.4783907
405	212.3887804
406	212.3033036
407	212.2576917
408	212.2296948
409	212.114945
410	212.09827
411	211.9970776
412	211.9806486
413	211.8993617
414	211.8011424
415	211.7596166
416	211.7196535
417	211.608837
418	211.5001793
419	211.4059896
420	211.3002579
421	211.2087957
422	211.1932632
423	211.1092332
424	211.033234
425	210.9444471
426	210.8681445
427	210.7680795
428	210.6955589
429	210.6092508
430	210.5299802
431	210.5055052
432	210.4256737
433	210.3418895
434	210.2701193
435	210.2556128
436	210.2413429
437	210.1598136
438	210.0666508
439	209.9907002
440	209.9658866
441	209.8922959
442	209.8784697
443	209.7999202
444	209.7099761
445	209.6951173
446	209.672312
447	209.6043198
448	209.5909232
449	209.5178286
450	209.4464908
451	209.3517526
452	209.3389945
453	209.3186609
454	209.3051898
455	209.2370146
456	209.1625898
457	209.150423
458	209.0591222
459	209.0460805
460	209.0254977
461	208.9575589
462	208.8954012
463	208.8069174
464	208.7943735
465	208.7820553
466	208.7205292
467	208.6611456
468	208.6490598
469	208.577901
470	208.5608417
471	208.5444161
472	208.486006
473	208.4710462
474	208.4018043
475	208.3443186
476	208.3262376
477	208.3154693
478	208.247549
479	208.1660412
480	208.1550558
481	208.09183
482	208.0361484
483	207.981372
484	207.9701335
485	207.9038638
486	207.892819
487	207.8787255
488	207.8248598
489	207.7641783
490	207.7005466
491	207.647546
492	207.6367647
493	207.5743431
494	207.5222027
495	207.5117303
496	207.4495697
497	207.3893891
498	207.315988
499	207.3056884
500	207.2955721
501	207.245056
502	207.1953596
503	207.1854581
504	207.1733158
505	207.1635933
506	207.1147328
507	207.0560915
508	207.046536
509	206.9915446
510	206.9378642
511	206.8898062
512	206.842527
513	206.7861961
514	206.7298492
515	206.6786093
516	206.6239656
517	206.6149127
518	206.5483202
519	206.499473
520	206.4906775
521	206.4454762
522	206.396199
523	206.3517325
524	206.2998731
525	206.2561129
526	206.2052531
527	206.1621881
528	206.1010666
529	206.0593305
530	206.0098616
531	205.9613562
532	205.9202707
533	205.8798507
534	205.8337817
535	205.7853982
536	205.7715604
537	205.7589525
538	205.7115529
539	205.6993839
540	205.6428528
541	205.6036705
542	205.5595435
543	205.551299
544	205.5127667
545	205.4748584
546	205.4301691
547	205.3852714
548	205.3322938
549	205.295538
550	205.2593776
551	205.2166365
552	205.2086331
553	205.1968733
554	205.1855142
555	205.1775945
556	205.1698733
557	205.1285905
558	205.1214321
559	205.114484
560	205.1035045
561	205.0619799
562	205.026441
563	204.9914776
564	204.9507411
565	204.9115061
566	204.9049958
567	204.8642841
568	204.826921
569	204.7789742
570	204.7456148
571	204.7325348
572	204.726303
573	204.6934934
574	204.6874693
575	204.6489024
576	204.6418879
577	204.6353431
578	204.5963599
579	204.5640859
580	204.5626364
581	204.5563071
582	204.5190932
583	204.5127769
584	204.4810352
585	204.4449394
586	204.439241
587	204.395106
588	204.3643506
589	204.3579499
590	204.3269651
591	204.2906247
592	204.2844151
593	204.2546456
594	204.2191584
595	204.1843589
596	204.1785236
597	204.1492297
598	204.1204101
599	204.0862635
600	204.0746371
601	204.0417184
602	204.0015387
603	203.973613
604	203.9401092
605	203.9085837
606	203.8979155
607	203.8704394
608	203.8370692
609	203.8271411
610	203.7955058
611	203.7649991
612	203.7319106
613	203.7265601
614	203.6999544
615	203.6944376
616	203.6873699
617	203.6549824
618	203.6249657
619	203.6147206
620	203.6077678
621	203.5765664
622	203.5717027
623	203.5666241
624	203.5617383
625	203.5578551
626	203.5316957
627	203.5267423
628	203.4961952
629	203.4913755
630	203.48686
631	203.483683
632	203.4739339
633	203.448216
634	203.4387332
635	203.4102357
636	203.3808016
637	203.3762178
638	203.3718657
639	203.3627513
640	203.3374603
641	203.3285936
642	203.3023382
643	203.2972411
644	203.2656141
645	203.2571816
646	203.2469309
647	203.2185542
648	203.1907757
649	203.1881077
650	203.1854982
651	203.1813352
652	203.1738751
653	203.170487
654	203.1452779
655	203.1413723
656	203.1141747
657	203.1119127
658	203.1109512
659	203.1085048
660	203.1057412
661	203.0811839
662	203.0754975
663	203.045214
664	203.0405552
665	203.0143357
666	203.0106181
667	203.0084566
668	202.9827877
669	202.9804773
670	202.9558931
671	202.9307541
672	202.9262132
673	202.9223879
674	202.8977742
675	202.8940118
676	202.8699122
677	202.8608991
678	202.8573832
679	202.8496432
680	202.8444214
681	202.8405646
682	202.8371678
683	202.8317903
684	202.828251
685	202.8239077
686	202.820432
687	202.8163526
688	202.7927489
689	202.7841656
690	202.7768268
691	202.7729628
692	202.7679072
693	202.7637934
694	202.737343
695	202.7171682
696	202.6888161
697	202.682658
698	202.6779001
699	202.6745413
700	202.6726231
701	202.6717543
702	202.645762
703	202.6424726
704	202.6150079
705	202.5924622
706	202.5854238
707	202.5633444
708	202.5624948
709	202.5616642
710	202.5397932
711	202.5359999
712	202.5322443
713	202.5283678
714	202.5096221
715	202.5088087
716	202.5056856
717	202.4846181
718	202.4578462
719	202.4542427
720	202.4507091
721	202.4300845
722	202.4262372
723	202.4084414
724	202.4008275
725	202.3934042
726	202.3671358
727	202.3598988
728	202.3528412
729	202.3459579
730	202.3431428
731	202.3384856
732	202.335718
733	202.332997
734	202.3118431
735	202.291283
736	202.2857014
737	202.2685008
738	202.2678735
739	202.2672585
740	202.2631639
741	202.2392887
742	202.2188123
743	202.1939643
744	202.1793485
745	202.154971
746	202.1471856
747	202.1305674
748	202.1164542
749	202.1125954
750	202.1083616
751	202.0881735
752	202.0805234
753	202.0790179
754	202.0588767
755	202.0428248
756	202.0195007
757	201.9966187
758	201.9743109
759	201.9562548
760	201.9536693
761	201.9466401
762	201.9299325
763	201.926187
764	201.9071661
765	201.8916774
766	201.8700313
767	201.866601
768	201.8486716
769	201.8336905
770	201.8303825
771	201.8131573
772	201.8063923
773	201.7855318
774	201.7708423
775	201.7681628
776	201.7674989
777	201.7508097
778	201.7502614
779	201.7480336
780	201.7423815
781	201.7418495
782	201.7254361
783	201.6995304
784	201.6825904
785	201.6769321
786	201.6748988
787	201.6624663
788	201.6503288
789	201.6472671
790	201.635263
791	201.6299249
792	201.6101547
793	201.6095263
794	201.6061968
795	201.594475
796	201.5811184
797	201.5614518
798	201.5542132
799	201.5494716
800	201.5336872
801	201.5283121
802	201.5278192
803	201.5248831
804	201.508771
805	201.5035456
806	201.5004977
807	201.4799345
808	201.4793901
809	201.4771732
810	201.4615515
811	201.4503205
812	201.4472731
813	201.4362397
814	201.4313667
815	201.4205901
816	201.4167558
817	201.4161835
818	201.3980497
819	201.3974871
820	201.3929598
821	201.3780407
822	201.3636354
823	201.3490098
824	201.3448162
825	201.3428256
826	201.3325335
827	201.3304522
828	201.3284068
829	201.3263965
830	201.3162815
831	201.3117287
832	201.2965959
833	201.2865565
834	201.2836393
835	201.2806548
836	201.2788665
837	201.2756609
838	201.2719004
839	201.2701583
840	201.267423
841	201.2559597
842	201.2387052
843	201.2354937
844	201.2185905
845	201.2048194
846	201.2044111
847	201.1947457
848	201.1813753
849	201.1648138
850	201.1629582
851	201.1492394
852	201.1447484
853	201.1442678
854	201.1416232
855	201.1411515
856	201.1270133
857	201.109202
858	201.1028037
859	201.0936169
860	201.0919296
861	201.0787626
862	201.0700764
863	201.0566518
864	201.0439383
865	201.0329828
866	201.031274
867	201.018648
868	201.0145477
869	201.0105536
870	201.0089094
871	201.006378
872	201.0024017
873	201.0019094
874	200.9850001
875	200.9835649
876	200.9752936
877	200.9736453
878	200.9720254
879	200.9637849
880	200.9518997
881	200.9439473
882	200.9324703
883	200.9202302
884	200.9055381
885	200.8989093
886	200.8878411
887	200.8847497
888	200.8729112
889	200.8638035
890	200.8616776
891	200.8460242
892	200.8420072
893	200.8299306
894	200.8286645
895	200.8181373
896	200.8159641
897	200.8070528
898	200.80003
899	200.7940851
900	200.7854719
901	200.7712463
902	200.7692417
903	200.7635208
904	200.7487223
905	200.7396033
906	200.7311736
907	200.7199712
908	200.7027263
909	200.6960356
910	200.694633
911	200.6842209
912	200.6760695
913	200.6721617
914	200.6636612
915	200.6530048
916	200.6445067
917	200.6428498
918	200.6390807
919	200.6313252
920	200.6178207
921	200.6074865
922	200.5944035
923	200.5863456
924	200.5763247
