iter	Passed	Remaining
0	0	680
1	1	602
2	1	569
3	2	549
4	2	549
5	3	519
6	3	515
7	4	510
8	4	506
9	4	489
10	5	469
11	5	470
12	6	471
13	6	449
14	6	450
15	7	461
16	8	469
17	8	477
18	9	465
19	9	463
20	10	470
21	10	475
22	11	481
23	12	501
24	12	504
25	13	506
26	14	507
27	14	507
28	15	532
29	16	533
30	16	527
31	17	521
32	17	520
33	18	514
34	18	507
35	18	507
36	19	507
37	20	508
38	20	509
39	21	508
40	21	509
41	22	508
42	22	505
43	23	505
44	23	506
45	24	506
46	24	506
47	25	505
48	25	500
49	26	499
50	26	500
51	27	499
52	27	499
53	28	500
54	28	494
55	29	494
56	29	494
57	30	494
58	30	493
59	31	494
60	32	494
61	32	494
62	33	494
63	33	490
64	34	490
65	34	489
66	35	489
67	35	485
68	36	486
69	36	481
70	36	481
71	37	478
72	37	478
73	38	478
74	38	474
75	38	471
76	39	469
77	39	470
78	40	468
79	40	468
80	41	470
81	42	470
82	42	468
83	42	468
84	43	468
85	43	465
86	44	462
87	44	461
88	45	461
89	45	461
90	46	459
91	46	459
92	47	458
93	47	458
94	47	455
95	48	456
96	49	456
97	49	452
98	49	450
99	49	447
100	50	445
101	50	444
102	50	443
103	51	441
104	51	438
105	51	437
106	52	435
107	52	433
108	52	432
109	53	433
110	53	431
111	54	430
112	54	430
113	55	431
114	55	428
115	55	425
116	56	425
117	56	425
118	57	425
119	58	425
120	58	425
121	59	425
122	59	425
123	60	425
124	60	425
125	60	422
126	61	423
127	62	423
128	62	422
129	63	422
130	63	421
131	64	421
132	64	421
133	65	421
134	65	420
135	65	418
136	66	417
137	66	417
138	67	417
139	67	416
140	68	414
141	68	412
142	68	411
143	69	413
144	70	413
145	70	410
146	70	410
147	71	410
148	71	409
149	72	409
150	72	408
151	73	407
152	73	406
153	73	405
154	74	404
155	74	405
156	75	405
157	76	405
158	76	405
159	76	404
160	77	403
161	78	403
162	78	403
163	79	403
164	79	401
165	79	400
166	80	400
167	80	400
168	81	400
169	81	398
170	82	398
171	82	397
172	83	397
173	83	397
174	84	396
175	84	396
176	85	395
177	85	395
178	85	394
179	86	393
180	87	393
181	87	392
182	87	392
183	88	392
184	89	392
185	89	392
186	90	392
187	91	395
188	107	461
189	108	462
190	109	462
191	109	462
192	110	462
193	111	461
194	111	461
195	112	462
196	113	460
197	113	459
198	114	459
199	114	458
200	115	457
201	115	456
202	116	456
203	116	455
204	117	454
205	117	454
206	118	453
207	118	452
208	119	451
209	119	450
210	120	450
211	120	449
212	121	447
213	121	447
214	122	446
215	122	445
216	123	445
217	124	444
218	124	444
219	125	444
220	125	443
221	126	442
222	126	441
223	129	448
224	130	448
225	130	447
226	131	447
227	131	446
228	132	446
229	133	445
230	133	444
231	134	443
232	134	443
233	135	442
234	135	442
235	136	442
236	137	441
237	137	440
238	138	440
239	138	439
240	139	439
241	140	439
242	140	438
243	141	438
