shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
武汉洋帆科技,6599.0,Apple/苹果 iPhone 15 Pro手机官方正品5G苹果15pro手机 武汉闪送,739926692462,6,湖北 武汉,0,1,1,0,1,A17 Pro 芯片,4800,20,,1,4800
壹品良机旗舰店,5719.0,下单立减苹果iPhone 15 Plus 手机旗舰店正品,739129591739,7,上海,1,1,1,0,0,A16 仿生芯片,4800,0,6.7,1,4800
OK数码,4718.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>苹果<span class=H>15</span>手机官方旗舰<span class=H>iphone</span><span class=H>15</span>全网通国行手机,751808739639,11,上海,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
中国移动官方旗舰店,5879.0,【移动用户专享】中国移动官旗Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 全网通2023新品5G 双卡双待手机国行,738911502282,10,浙江 杭州,1,1,1,0,0,A16 仿生芯片,4800,0,6.7,1,4800
炫和科技,4680.0,当天发2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行5G原封正品手机苹果<span class=H>15</span>,738719420129,36,陕西 西安,1,1,1,0,1,A16 仿生芯片,4800,20,,1,4800
一只羊手机店,6525.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro2023年新款全新原封国行正品双卡5G手机,737521475285,26,河南 郑州,1,1,1,0,0,A17 Pro 芯片,4800,20,,1,4800
鼎诺数码科技,5459.0,新品现货 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行5G苹果<span class=H>15</span>plus全网通手机,739554475374,3,河南 郑州,1,1,1,0,0,A16 仿生芯片,4800,40,,1,4800
重庆风雨通讯,4760.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 苹果<span class=H>15</span> 国行正品  6.1寸 <span class=H>iphone</span><span class=H>15</span> 国行,740400731174,9,重庆,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
弘盛通讯,8468.85,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max <span class=H>iphone</span><span class=H>15</span>promax苹果<span class=H>15</span>Pro手机苹果,733585782942,0,广东 深圳,1,0,1,0,0,A17 Pro 芯片,4800,40,,1,4800
果粉 Store,4850.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行<span class=H>15</span>Plus新款<span class=H>15</span>ProMax苹果<span class=H>15</span>Pro十五手机,740478577047,31,广东 深圳,1,1,1,1,1,A16 仿生芯片,4800,30,,1,4800
武汉洋帆科技,8379.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max旗舰手机 5G官方国行 全新正品,740073049688,9,湖北 武汉,0,1,1,0,1,A17 Pro 芯片,4800,20,,1,4800
微微通讯,4699.0,【 现货包顺丰】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 双卡全网通5G,740106413921,18,北京,0,0,1,0,0,A16 仿生芯片,4800,27,,1,4800
盛创数码,4398.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新款原装国行正品苹果<span class=H>15</span>全网通<span class=H>iphone</span><span class=H>15</span>plus,775973989030,29,广东 深圳,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
天诺数码 十年老店,4329.0,Apple/苹果 <span class=H>iPhone</span><span class=H>15</span>pro国行正品<span class=H>iPhone</span><span class=H>15</span>ProMax全网通苹果<span class=H>15</span>手机,772906875622,23,广东 深圳,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
正品数码通讯,6570.0,苹果<span class=H>15</span>pro新款原封机新品现货<span class=H>iphone</span><span class=H>15</span>手机苹果<span class=H>15</span>por系列<span class=H>15</span>promax,733861551350,2,福建 福州,1,0,1,0,0,A17 Pro 芯片,4800,40,,1,4800
武汉洋帆科技,4729.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>手机 5G全网通苹果<span class=H>15</span>官方正品 国行全新正品,740320719338,11,湖北 武汉,0,1,1,0,1,A16 仿生芯片,4800,20,,1,4800
大胡子1987,5530.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行5G手机原封原装正品6.7英寸,739450006268,25,上海,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
果品 Store,4446.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通5G手机原装国行,769938068931,7,广东 深圳,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
盛远数码臻选,5108.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus原装正品国行5G全网通 苹果<span class=H>15</span>Plus,771737018185,12,广东 深圳,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
星期五数码,6398.0,Apple/苹果 <span class=H>iPhone</span><span class=H>15</span> Pro Max旗舰苹果<span class=H>15</span>ProMax正品5G全网通手机,773246223284,26,广东 深圳,1,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
开铭数码,5289.0,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max国行官方官网旗舰全网通5G,774058429470,7,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
京联通达数码旗舰店,5448.0,【顺丰速发 24期免息】Apple/苹果<span class=H>iPhone</span> <span class=H>15</span>/<span class=H>15</span>Plus 手机5G新品国行正品官方旗舰,680220016068,7,北京,1,1,1,0,0,A16 仿生芯片,4800,0,6.1,1,4800
一加数码城,4398.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机国行 苹果<span class=H>15</span> Pro,770407404247,16,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
老徐的数码店,4750.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 6.1英寸原封官方正品国行全网通5G智能手机,739374245247,5,上海,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
武汉老石,3730.0,代购Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus新款正品国行5G全网通手机分期,743436640351,1,广东 深圳,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
萌码部落,5750.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行5G原封正品 苹果<span class=H>15</span>plus,742491806233,1,辽宁 大连,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
蘑菇酱数码,3540.0,12期分期免息/Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行版花呗手机全球购日韩美,719568587744,15,广东 深圳,1,0,0,1,0,A16 仿生芯片,4800,20,,1,4800
魅立数码专营店,5299.0,【24期免息 现货速发】Apple/<span class=H>iPhone</span><span class=H>15</span>苹果<span class=H>15</span>手机5G全网通灵动岛旗舰官方正品,666642186247,3,广东 深圳,1,1,1,0,0,A16 仿生芯片,4800,0,6.1,1,4800
天猫优品官方直营,5999.0,Apple/苹果<span class=H>iPhone</span><span class=H>15</span> 新品5G全网通国行原装正品智能手机,771642440327,50,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,0,,1,4800
iPhone臻选,4365.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>官方国行正品<span class=H>15</span>plus全网通双卡旗舰5G手机林,776031673112,11,广东 深圳,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
果粉机家,4355.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品2023新款全网通5G手机苹果<span class=H>15</span> Plus,776478080144,19,广东 深圳,0,0,1,1,0,A16 仿生芯片,4800,20,,1,4800
苹果福利社,4830.0,2023款 <span class=H>iPhone</span> <span class=H>15</span> Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 福利社国行正品,656692211719,5,北京,0,0,0,0,0,A16 仿生芯片,4800,20,,1,4800
手机老农民 15年老店,4830.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行原封 送鉴别教程 <span class=H>15</span>年实体老店国行5G,741632079217,3,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
JK苹果,3850.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 全新未激活,742297180643,2,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800,18,,1,4800
六本木数码,4890.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>支持移动联通电信5G 全新原装 DL六本,738799577262,1,浙江 宁波,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
果粉机家,6398.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 国行正品全网通5G手机苹果<span class=H>15</span> Pro Max,776540217779,19,广东 深圳,0,0,1,1,0,A17 Pro 芯片,4800,20,,1,4800
