shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel,model
中国移动泛全联盟手机企业店,4849.0,【国行全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>全网通5G手机全新原装正品,766947102240,36000,浙江 杭州,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800,15
果壹数码,8499.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro,755241690206,24000,上海,0,0,0,0,0,A17 Pro 芯片,4800,20,,1,4800,15
果壹数码,8499.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro,755189193727,24000,上海,0,0,0,0,0,A17 Pro 芯片,4800,20,,1,4800,15
不二优选手机商城,11999.0,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机原装国行,766519539627,12000,江苏 南京,1,1,1,0,0,A17 Pro 芯片,4800,20,,1,4800,15
Sailing Digital,3599.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> Pro Max国行双卡正品全网通<span class=H>苹果</span><span class=H>12</span>手机,776276978184,12000,广东 深圳,0,0,1,1,0,A14,1200.0,18,,1,1200,12
京天数码通讯店,6499.0,【爆款】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通5G新款双卡双待手机,742857485294,12000,北京,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800,15
信圆手机数码,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 手机,773429118552,12000,北京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800,15
耀壹数码通讯,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,755469602744,12000,山东 济南,0,0,1,0,0,A16 仿生芯片,4800,65,,1,4800,15
浩酷3C数码,5998.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,749137019391,12000,广东 东莞,1,1,1,0,0,A16 仿生芯片,4800,20,,1,4800,15
花海手机通讯店,8499.0,[<span class=H>15</span> Pro]Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 高刷屏全网通2023新品5G手机,742816998436,9600,北京,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800,15
陆杰数码,8999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus,757474891535,8400,浙江 金华,0,0,0,0,0,A16 仿生芯片,4800,20,,1,4800,15
众逸数码,8569.0,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机原装国行,740461837932,8400,江苏 南京,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800,15
小兔数码科技,3720.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro Max苹果<span class=H>13</span>promax全网通5G手机分期免息,766808295964,7200,上海,0,0,1,0,0,A15,1200.0,20,,1,1200,13
中关村苹果在线,5520.0,Apple/苹果<span class=H>14</span>pro max国行<span class=H>iphone</span><span class=H>14</span>pro max苹果<span class=H>14</span>promax正品手机,774361461289,7200,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800,14
圣方数码,4888.0,现货Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 苹果<span class=H>15</span>promax手机<span class=H>iPhone</span><span class=H>15</span>plus全网通,739993113137,7200,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800,15
仙童数码,4799.0,【全国联保】Apple/<span class=H>苹果</span> iPhone 15全网通5G手机原装国行正品,772397879108,7200,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800.0,20,,1,4800,12
仙童数码,6749.0,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro全网通5G手机原装国行正品,771908537425,7200,江苏 南京,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800,15
五道口学院,9399.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 苹果手机 5G手机 全新 国行,771500201476,6000,北京,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800,15
