shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel,model
百盛优选店,9999.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>50</span> Pro 8+512G,771213556931,7200,广东 深圳,0,1,1,0,0,骁龙8+4G,5000+1300+6400,66,,3,6400,Mate 50
数码甄选好店,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> 256/512GB,735337466999,7200,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
星星通讯行,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro  12+512GB,743185048440,6000,浙江 湖州,0,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
德盛数码好店,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro,735476418393,6000,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
德盛数码好店,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro,764908591060,4800,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
百盛优选店,9999.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span> 512G,771270574271,4800,广东 深圳,0,1,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
正品智能数码优选店,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro,765734635218,3600,广东 深圳,0,1,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
兴卓聚力,9999.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span>【512】,771434387687,2400,北京,0,0,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
好运来数码手机,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro,770972028823,2400,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
鹏程万里数码,9999.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span>,775910040431,2400,广东 深圳,0,0,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
德盛数码好店,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>,764890038026,2400,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
甄选手机店,5588.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> 手机官方正品顺丰现货,732891322018,2400,北京,1,0,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
麦乐通讯数码,9050.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> Pro+ 国行正品 全网通 5G,764075469883,2400,湖南 长沙,0,1,1,0,1,,4800+4000+4800,88,,3,4800,Mate 60
兴卓聚力,15999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro  12+512,765719688882,2400,北京,0,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
兴卓聚力,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro  8+256,768395848314,2400,北京,0,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
酷动3C数码商城,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>,766400461823,1200,广东 深圳,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
好运来数码手机,9999.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span>,772178304809,1200,广东 深圳,1,0,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
佰亿甄选,9999.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span>【512】,772131996978,1200,北京,0,0,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
