shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
三星手机配件原装,60.0,三星45W快充头原装正品note10+5G充电器S22UltraA超快充电2.0超级,635254067784,500,广东 深圳,0,1,1,0,1,,0,0,,1,0
三星手机配件原装,39.0,三星25W原装充电器W23快充s24 S23 S22 S20 S21 Note10+ Note20 Z Fli,700303228575,400,广东 深圳,0,1,1,0,1,,0,0,,1,0
迈微数码,3050.0,Samsung/三星 Galaxy S23 SM-S9110全网通5G国行S23+手机双卡正品,749581176698,31,上海,0,1,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
苏宁易购官方旗舰店,4399.0,现货速发/<span class=H>三星</span>Samsung Galaxy <span class=H>S23</span> SM-S9110 5G手机全新国行拍照官旗官方正品<span class=H>S23</span><span class=H>三星</span>1070,699000260634,14,上海,1,0,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
苏宁易购官方旗舰店,3849.0,【新品上市 】<span class=H>三星</span>/Samsung Galaxy <span class=H>S23</span> FE 智能手机 5G数码拍照官方旗舰<span class=H>s23</span>fe<span class=H>三星</span>1070,746224593568,6,上海,1,0,1,0,0,第一代骁龙8 移动平台,5000+1200+3800,25,,3,5000
三星官方旗舰店,5699.0,【下单省600元】Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span>+ 拍照摄影5G智能手机 官方旗舰正品,697368284740,11,北京,1,1,0,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,45,,3,31000
久汇数码专营店,4199.0,【国行正品 全新未激活】Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span> 新品手机官方旗舰店官网正品第二代骁龙8直降s22ultra,700022205069,12,广东 深圳,1,1,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
天猫校园会员官方旗舰店,6499.0,【校园专享 天猫自营 512G】<span class=H>三星</span> Galaxy <span class=H>S23</span>旗舰正品智能手机视觉夜拍<span class=H>三星</span>官方旗舰店官网 8GB+512GB,714235168034,0,北京,1,0,1,0,1,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
刹那数码 主店,3588.0,【<span class=H>三星</span>授权经销商】Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span> SM-S9110全网通5G,702985767529,15,香港 九龙,1,0,1,1,1,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
绅士手机,6388.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span> Ultra SM-S9180<span class=H>三星</span><span class=H>S23</span>U 国港台<span class=H>S23</span>+,700688634608,6,广东 深圳,0,0,0,0,0,第二代骁龙8移动平台（for Galaxy）,20000+1200+31000+101000,45,,4,101000
三星官翻机授权企业店,3349.0,【演示机】Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span> SM-S9110全国联保,769999979134,14,广东 广州,0,1,1,0,1,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
千千数码68号,2950.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span> SM-S9110国行双卡直屏Ultra全网通手机+,772379872472,26,广东 深圳,0,0,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000
