shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
远洋数码通讯,4348.0,Samsung/三星 Galaxy Z Flip5 SM-F7310新款zflip5折叠屏国行手机,765355056919,2,河南 郑州,0,0,1,0,0,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,1200+1200,25,,2,1200
迈微数码,1650.0,Samsung/三星 Galaxy S21 5G SM-G9910国行双卡 S21+Ultra 曲屏,697676143316,15,上海,0,1,1,0,1,高通骁龙888,1200+1200+6400,25,,3,6400
迈微数码,1650.0,Samsung/三星 Galaxy S21+ 5G SM-G9960 S21 S21Ultra全新国行,708598575582,29,上海,0,1,1,0,1,高通骁龙888,6400,25,,1,6400
星恒优品,3500.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip5 SM-F7310,755104269924,42,广东 深圳,0,1,1,0,0,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,1200+1200,25,,2,1200
牛牛数码城,1600.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip3 5G SM-F7110 折叠屏 <span class=H>z</span>flip3,743496769104,73,山东 威海,0,1,1,0,0,高通骁龙 SDM888,1200,15,,1,1200
UVtang,6988.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Fold5 SM-F9460折叠<span class=H>z</span>fold5代新款国行手机,732060671662,22,广东 深圳,1,0,1,1,1,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,5000+1200+1000,25,,3,5000
牛牛数码城,3949.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Fold4 SM-F9360 折叠屏  W23 <span class=H>z</span>fold4,767386217189,28,山东 威海,0,1,1,0,0,骁龙8+ Gen 1,5000+1200+1000,25,,3,5000
华奥通讯,8978.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Fold5 SM-F9460折叠屏旗舰5G手机23款新品,730784336845,14,北京,1,1,1,0,0,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,5000+1200+1000,25,,3,5000
完美科技通讯城,1392.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip4 SM-F7210 折叠屏4代手机<span class=H>Z</span> Flip3,775086767739,16,广东 深圳,0,1,1,0,0,骁龙8Gen1Plus,1200+1200,25,,2,1200
新时代电讯,4733.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip5 SM-F7310三星手机<span class=H>z</span>flip5折叠屏5G,730609844663,21,北京,1,0,1,0,1,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,1200+1200,25,,2,1200
华强官翻数码,1498.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip3 5G SM-F7110折叠屏全网5G翻盖手机,757842618225,11,福建 莆田,0,1,1,0,0,高通骁龙 SDM888,1200,15,,1,1200
乐数码优品,1412.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip4 SM-F7210 四代折叠款<span class=H>z</span>flip3 折叠屏,736181839948,19,广东 广州,0,1,1,0,0,骁龙8Gen1Plus,1200+1200,25,,2,1200
