shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel,model
蓝宇数码通讯,3099.0,OnePlus/一加 Ace 2满血版骁龙®8+旗舰平台 1.5K灵犀触控屏,744297600206,12000,北京,0,0,1,0,0,高通 骁龙8+ Gen1,5000+800+200,100,,3,5000,Samsung S22
Sailing Digital,3599.0,Apple/苹果 iPhone 12 Pro Max国行双卡正品全网通苹果12手机,776276978184,12000,广东 深圳,0,0,1,1,0,A14,1200,18,,1,1200,Samsung S24
蓝宇数码通讯,3099.0,OnePlus/一加 Ace 2满血版骁龙®8+旗舰平台 1.5K灵犀触控屏,744297600206,12000,北京,0,0,1,0,0,高通 骁龙8+ Gen1,5000+800+200,100,,3,5000,Samsung S24
蓝宇数码通讯,4899.0,OnePlus/一加 12 5G新品手机 2K东方屏 第三代高通骁龙8旗舰芯片,770585595377,6000,北京,0,0,1,0,0,第三代骁龙®8移动平台,5000+4800+6400,100,,3,6400,Samsung S24
喵速达电器官方旗舰店,2499.0,Redmi K70新品上市红米手机小米手机官方旗舰店新品上市新款旗舰K60红米k70小米k70,760233650625,4800,浙江 杭州,1,1,0,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000,Samsung S24
蓝宇数码通讯,1299.0,Huawei/华为 华为畅享 70 鸿蒙智能手机6000mAh大电池6.75英寸,757214695099,2400,北京,0,0,1,0,0,,5000+200,22,,2,5000,Samsung S24
三星7天机授权企业店,1628.0,<span class=H>Samsung</span>/三星 Galaxy A54 5G SM-A5460 IP67防水,730607520984,2400,广东 广州,0,1,1,0,1,三星Exynos1380,5000+1200+500,25,,3,5000,Samsung z
蓝宇数码通讯,2999.0,OnePlus/一加 Ace 2满血版骁龙®8+旗舰平台 1.5K灵犀触控屏,742379932659,1200,北京,0,0,1,0,0,高通 骁龙8+ Gen1,5000+800+200,100,,3,5000,Samsung S24
百亿补贴官方频道,1155.0,OPPOA2新品智能手机拍照游戏手机oppo双模全网通百亿补贴官方正品,760094567533,1200,浙江 杭州,0,0,1,0,0,天玑6020,5000+200,33,,2,5000,Samsung S24
亿腾数码通讯,1398.0,Huawei/华为 P40 5G 国行正品 P40 Pro 全网通鸿蒙系统智能手机,770718731486,1200,广东 深圳,0,1,1,0,0,麒麟990 5G,5000,22,,1,5000,Samsung S24
数码电子科技通讯,1458.0,<span class=H>Samsung</span>/三星 W23 Flip SM-W7023<span class=H>Z</span>KACHC正品心系天下折叠屏5G手机,766167523831,1200,福建 莆田,0,1,1,0,0,骁龙8+ Gen 1,1200+1200,25,,2,1200,Samsung z
华强官翻数码,1498.0,<span class=H>Samsung</span>/三星 W23 Flip SM-W7023<span class=H>Z</span>KACHC升级心系天下折叠屏5G手机,756791299447,1200,福建 莆田,0,1,1,0,0,骁龙8+ Gen 1,1200+1200,25,,2,1200,Samsung z
甜茶数码科技,1499.0,<span class=H>Samsung</span>/三星 W23 Flip SM-W7023<span class=H>Z</span>KACHC正品心系天下折叠屏5G手机,765048222164,1200,福建 莆田,0,1,1,0,0,骁龙8+ Gen 1,1200+1200,25,,2,1200,Samsung z
太极国际数码,1588.0,Huawei/华为 Mate 60 Pro+新款正品5G荣耀官方旗舰X50GT智能手机,772798877955,1188,北京,0,1,1,0,0,,4800+4000+4800,88,,3,4800,Samsung S24
亿诺优品数码,1678.0,Huawei/华为 P40 5G官方正品全网通5G手机鸿蒙麒麟990芯片徕卡,754577314550,1104,北京,0,1,1,0,0,麒麟990 5G,5000,22,,1,5000,Samsung S24
蓝宇数码通讯,1499.0,Huawei/华为 畅享 70 Pro 1亿像素超清影像5000mAh超长续航手机,772249678551,1080,北京,0,0,1,0,0,高通骁龙™ 680,180000+200,40,,2,180000,Samsung S22
蓝宇数码通讯,1499.0,Huawei/华为 畅享 70 Pro 1亿像素超清影像5000mAh超长续航手机,772249678551,1080,北京,0,0,1,0,0,高通骁龙™ 680,180000+200,40,,2,180000,Samsung S24
经典数码商店,1448.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip3 5G SM-F7110折叠屏手机翻盖折叠款,760292111467,1020,广东 深圳,0,0,1,0,0,高通骁龙 SDM888,1200,15,,1,1200,Samsung z
牛牛数码城,1600.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip3 5G SM-F7110 折叠屏 <span class=H>z</span>flip3,743496769104,876,山东 威海,0,1,1,0,0,高通骁龙 SDM888,1200,15,,1,1200,Samsung z
创佰伦数码,5999.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip5 SM-F7310,768213116904,864,广东 深圳,1,0,1,0,0,高通Snapdragon® 8 Gen 2 for Galaxy  (4nm,1200+1200,25,,2,1200,Samsung z
商城酷吧,1695.0,Apple/苹果 iPhone 12 ProMas 国行正品无锁 5G全网通 苹果12手机,772489452246,768,上海,0,1,1,0,0,A14,1200,20,,1,1200,Samsung S24
百亿补贴官方频道,1379.0,honor/荣耀80se 5G手机官网正品新款智能80se千元机学生游戏手机,752015910186,744,浙江 杭州,0,0,1,0,0,天玑900,6400+500+200,66,,3,6400,Samsung S22
百亿补贴官方频道,1379.0,honor/荣耀80se 5G手机官网正品新款智能80se千元机学生游戏手机,752015910186,744,浙江 杭州,0,0,1,0,0,天玑900,6400+500+200,66,,3,6400,Samsung S24
三星科创数码,1412.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip4 SM-F7210折叠屏新款<span class=H>z</span>flip3正品手机,731698462951,720,广东 深圳,0,1,1,0,0,骁龙8Gen1Plus,1200+1200,25,,2,1200,Samsung z
千寻瀑电子科技,1600.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Flip4 SM-F7210手机折叠翻盖智能机,711515322346,672,广东 深圳,0,1,1,0,0,骁龙8Gen1Plus,1200+1200,25,,2,1200,Samsung z
远东数码城,3000.0,<span class=H>Samsung</span>/三星 Galaxy <span class=H>Z</span> Fold3 5G SM-F9260 折叠3代 5G手机 Fold4,745858254881,660,广东 深圳,0,1,1,0,0,高通骁龙 SDM888,1200,25,,1,1200,Samsung z
糖糖数码商品店,1400.0,全新Samsung/<span class=H>三星</span> Galaxy S21+G9960国行S21Ultra5Gs20全网通手机,699424043341,636,上海,0,1,1,0,1,高通骁龙888,1200,25,,1,1200,Samsung S22
新泰时尚,1600.0,Samsung/<span class=H>三星</span> Galaxy S21 5G SM-G9910国行双卡 S21+Ultra 曲屏,696377279747,624,广东 广州,0,1,1,0,0,高通骁龙888,1200+1200+6400,25,,3,6400,Samsung S22
昱富隆通讯,2675.0,Samsung/<span class=H>三星</span> Galaxy <span class=H>S23</span> SM-S9110 全网通 5G手机  <span class=H>s23</span>国行,715830018495,624,广东 深圳,0,1,1,0,0,第二代骁龙8移动平台（for Galaxy）,5000+1200+31000,25,,3,31000,Samsung S23
