shopTitle,price,title,auction,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size
鲁信数码手机店,4668.00,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>旗舰5G手机官网国行正品苹果<span class=H>15</span>Pro,item.taobao.com/item.htm?id=738994761296&ns=1&abbucket=15#detail,738994761296,6人付款,河南 郑州,1,0,1,0,0,A16 仿生芯片,4800万,20W,
诺悦通讯,4668.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新品苹果<span class=H>iPhone</span><span class=H>15</span>国行正品原封手机,item.taobao.com/item.htm?id=737274536939&ns=1&abbucket=15#detail,737274536939,10人付款,江苏 南京,1,0,1,0,0,A16 仿生芯片,4800万,30W,
一只羊手机店,6634.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro2023年新款全新原封国行正品双卡5G手机,item.taobao.com/item.htm?id=737521475285&ns=1&abbucket=15#detail,737521475285,22人付款,河南 郑州,1,0,1,0,0,A17 Pro 芯片,4800万,20W,
武汉芒果数码,5590.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行原封未激活<span class=H>iphone</span><span class=H>15</span>plus全新正品,item.taobao.com/item.htm?id=740227467754&ns=1&abbucket=15#detail,740227467754,6人付款,湖北 武汉,0,0,1,0,0,A16 仿生芯片,4800万,20W,
济南精诚数码,4659.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行全新原封苹果<span class=H>15</span>双卡5G 未激活全国联保,item.taobao.com/item.htm?id=739146740022&ns=1&abbucket=15#detail,739146740022,26人付款,山东 济南,0,0,1,0,0,A16 仿生芯片,4800万,20W,
盛创数码,4338.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新款原装国行正品苹果<span class=H>15</span>全网通<span class=H>iphone</span><span class=H>15</span>plus,item.taobao.com/item.htm?id=775973989030&ns=1&abbucket=15#detail,775973989030,49人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
武汉老石,3730.00,代购Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus新款正品国行5G全网通手机分期,item.taobao.com/item.htm?id=743436640351&ns=1&abbucket=15#detail,743436640351,4人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
iPhone甄选,9899.00,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 苹果5G手机<span class=H>15</span>ProMax 国行正品,item.taobao.com/item.htm?id=775098978688&ns=1&abbucket=15#detail,775098978688,27人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
iPhone Store 特惠店,6358.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>ProMax国行全网通苹果<span class=H>15</span>pro苹果<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=775816221241&ns=1&abbucket=15#detail,775816221241,10人付款,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800万,20W,
iPhone臻选,4325.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>官方国行正品<span class=H>15</span>plus全网通双卡旗舰5G手机林,item.taobao.com/item.htm?id=776031673112&ns=1&abbucket=15#detail,776031673112,28人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
大胡子1987,5550.00,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行5G手机原封原装正品6.7英寸,item.taobao.com/item.htm?id=739450006268&ns=1&abbucket=15#detail,739450006268,25人付款,上海,0,0,1,0,0,A16 仿生芯片,4800万,20W,
武汉洋帆科技,8499.00,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max旗舰手机 5G官方国行 全新正品,item.taobao.com/item.htm?id=740073049688&ns=1&abbucket=15#detail,740073049688,12人付款,湖北 武汉,0,0,1,0,1,A17 Pro 芯片,4800万,20W,
库克数码城,4435.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>官方国行原装正品旗舰全网通双卡手机官网5G,item.taobao.com/item.htm?id=771721403957&ns=1&abbucket=15#detail,771721403957,7人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
武汉洋帆科技,4759.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>手机 5G全网通苹果<span class=H>15</span>官方正品 国行全新正品,item.taobao.com/item.htm?id=740320719338&ns=1&abbucket=15#detail,740320719338,9人付款,湖北 武汉,0,0,1,0,1,A16 仿生芯片,4800万,20W,
iPhone Store直售店,5344.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行正品2023新款全国联保全网通手机,item.taobao.com/item.htm?id=772234697367&ns=1&abbucket=15#detail,772234697367,5人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
蘑菇酱数码,3510.00,12期分期免息/Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行版花呗手机全球购日韩美,item.taobao.com/item.htm?id=719568587744&ns=1&abbucket=15#detail,719568587744,16人付款,广东 深圳,1,0,0,1,0,A16 仿生芯片,4800万,20W,
西安状状通讯商行,4704.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>  新款6.1寸双卡国行正品官方旗舰手机5G,item.taobao.com/item.htm?id=738694208493&ns=1&abbucket=15#detail,738694208493,4人付款,陕西 西安,0,0,1,0,1,A16 仿生芯片,4800万,20W,
精臻数码城,4718.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新品A16芯片国行正品全新原装苹果<span class=H>15</span>手机,item.taobao.com/item.htm?id=768074693640&ns=1&abbucket=15#detail,768074693640,7人付款,河南 郑州,1,0,1,0,0,A16 仿生芯片,4800万,20W,
老徐的数码店,4728.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 6.1英寸原封官方正品国行全网通5G智能手机,item.taobao.com/item.htm?id=739374245247&ns=1&abbucket=15#detail,739374245247,5人付款,上海,0,0,1,0,0,A16 仿生芯片,4800万,20W,
京联通达数码旗舰店,5398.00,【顺丰速发 24期免息】Apple/苹果<span class=H>iPhone</span> <span class=H>15</span>/<span class=H>15</span>Plus 手机5G新品国行正品官方旗舰,detail.tmall.com/item.htm?id=680220016068&ns=1&abbucket=15,680220016068,4人付款,北京,1,0,1,0,0,A16 仿生芯片,4800万,,6.1英寸
盛远数码臻选,5078.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus新款原装正品国行5G全网通 苹果<span class=H>15</span>Plus,item.taobao.com/item.htm?id=771737018185&ns=1&abbucket=15#detail,771737018185,13人付款,广东 深圳,0,0,1,0,1,A16 仿生芯片,4800万,20W,
手机老农民 15年老店,4830.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行原封 送鉴别教程 <span class=H>15</span>年实体老店国行5G,item.taobao.com/item.htm?id=741632079217&ns=1&abbucket=15#detail,741632079217,4人付款,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800万,20W,
清北数码,4348.00,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行官方正品苹果<span class=H>15</span>手机已激活新款<span class=H>iphone</span><span class=H>15</span>,item.taobao.com/item.htm?id=772264053168&ns=1&abbucket=15#detail,772264053168,3人付款,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800万,20W,
