shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
壹品良机旗舰店,5719.0,下单立减苹果iPhone 15 Plus 手机旗舰店正品,739129591739,7,上海,1,1,1,0,0,A16 仿生芯片,4800,0,6.7,1,4800
易购通讯数码城,1917.1,Apple/苹果 iPhone 12 原装国行正品苹果12手机双卡全网通5G,751165322565,84,广东 深圳,1,1,1,0,0,A14,1200,20,,1,1200
乐祺数码 iPhone特惠店,3048.0,分期免息Apple/苹果iPhone13国行全网通5G双卡苹果手机13现货,735020351274,29,广东 广州,0,1,1,0,1,A15,1200,20,,1,1200
中国移动手机官方旗舰店,4559.0,【顺丰速发】Apple/苹果 <span class=H>iPhone</span> 14 新款手机 官网官方旗舰店国行正品,683698082052,4,广东 广州,1,1,1,0,0,A15 仿生芯片,1200,0,6.1,1,1200
翼天下天翼电信旗舰店,4929.0,【赠壳膜套装】Apple/苹果 <span class=H>iPhone</span> 15全网通5G手机原装国行正品中国电信天翼官方旗舰店,739039383891,8,江苏 南京,1,1,1,0,0,A16 仿生芯片,4800,0,6.1,1,4800
中国移动手机官方旗舰店,5999.0,【以旧换新低至5649元起】Apple/苹果 <span class=H>iPhone</span> 15 Plus 全网通2023新品5G手机全新原装正品国行,743223928595,3,广东 深圳,1,1,1,0,0,A16 仿生芯片,4800,0,6.7,1,4800
中国移动官方旗舰店,6969.0,【移动用户专享】中国移动官旗Apple/苹果 <span class=H>iPhone</span> 15 Pro支持移动联通电信5G双卡双待手机国行正品,739043135768,7,浙江 杭州,1,1,1,0,0,A17 Pro 芯片,4800,0,6.1,1,4800
杭州朗朗数码苹果实体,4210.0,Apple/苹果 <span class=H>iPhone</span> 14苹果14官方正品5G旗舰机全新原封国行,683561132257,8,浙江 杭州,1,0,1,0,0,A15 仿生芯片,1200,0,,1,1200
皇家机行,3768.0,现货Apple/苹果 <span class=H>iPhone</span> 13 全新原封国行正品苹果13手机全国联保,655911005498,8,江苏 南京,1,0,1,0,0,A15,,20,,1,0
淘机宝贝屋,3746.0,Apple/苹果 <span class=H>iPhone</span> 13国行正品现货包邮5G全网通手机,675873001298,3,江苏 南京,1,1,1,0,1,A15,1200,20,,1,1200
麦克先生腾讯员工创业店,3800.0,Apple/苹果 <span class=H>iPhone</span> 13  5G全网通手机  6.1英寸 全新原装正品国行,655459904810,9,北京,1,0,1,0,0,A15,1200,20,,1,1200
炫和科技,4680.0,当天发2023新款Apple/苹果 <span class=H>iPhone</span> 15国行5G原封正品手机苹果15,738719420129,36,陕西 西安,1,1,1,0,1,A16 仿生芯片,4800,20,,1,4800
嘉盛优选数码,3950.0,分期免息Apple/苹果 <span class=H>iPhone</span> 13 Promax新款苹果13pro全网通5G手机,775966235273,42,上海,0,1,1,0,0,A15,1200,20,,1,1200
一休数码 13年老店,3458.0,Apple/苹果 <span class=H>iPhone</span> 14国行双卡5G 6.1寸严选优品零售手机南京发货,766690068800,28,江苏 南京,0,1,1,0,1,A15 仿生芯片,1200,20,,1,1200
风云数码,3478.0,【现货速发】Apple/苹果 <span class=H>iPhone</span> 14国行全网通5G手机苹果14Plus,773430184490,21,广东 深圳,0,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
iPhone臻选,2755.0,Apple/苹果 <span class=H>iPhone</span> 13官方国行正品13mini全网通双卡旗舰5G手机林,775976343231,13,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
云端科技联创,6148.0,Apple/苹果 <span class=H>iPhone</span> 14 Pro Max国行官方正品新款苹果14promax手机,762202481843,7,广东 东莞,1,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
金晟数码 14年老店,4208.0,【14年老店】Apple/苹果 <span class=H>iPhone</span> 13 Pro Max国行双卡全网通5G手机,749943853601,20,广东 广州,0,1,1,0,1,A15,1200,20,,1,1200
聚巢数码,2659.0,国行正品Apple/苹果 <span class=H>iPhone</span> 14手机苹果14Plus全网通5G苹果14手机,766146276332,13,广东 深圳,1,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
iPhone臻选,3455.0,Apple/苹果 <span class=H>iPhone</span> 14官方国行正品14plus全网通双卡旗舰5G手机林,775960236811,13,广东 深圳,0,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
浙江苹果源销售服务中心,5498.0,Apple/苹果 <span class=H>iPhone</span> 15 Plus 6.7寸正品5G手机 国行原封 现货即发,739847999350,11,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
七分钟数码,3998.0,Apple/苹果 <span class=H>iPhone</span> 14Plus 苹果14promax新款5G手机全网通正品14,757443299603,6,广东 深圳,0,0,1,0,0,A15 仿生芯片,1200,20,,1,1200
鸿润数码1,727.0,Apple/苹果 <span class=H>iPhone</span> 8 Plus苹果8p原装正品准新机国行全网通4G手机,772658353074,600,上海,0,1,1,0,0,A11,1200,20,,1,1200
易购通讯数码城,1938.0,Apple/苹果 <span class=H>iPhone</span> 12 苹果12国行双卡全网通5G手机分期免息,729381096762,17,广东 深圳,1,1,1,0,0,A14,1200,20,,1,1200
小叶子数码科技,3499.0,Apple/苹果 <span class=H>iPhone</span> 13 国行正品5G全网通双卡全新未拆封分期免息,760144859651,28,广东 深圳,0,0,1,0,0,A15,1200,20,,1,1200
盛远数码臻选,4068.0,Apple/苹果 <span class=H>iPhone</span> 13 Pro国行正品苹果13Pro手机<span class=H>iPhone</span>13promax,776318741042,16,广东 深圳,0,1,1,0,0,A15,4800,20,,1,4800
喜聚堂数码店,2090.0,Apple/苹果 <span class=H>iPhone</span> 12原装正品苹果12国行机双卡双待全网通5G手机,771560790018,13,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
苏州爱疯店,4760.0,Apple/苹果 <span class=H>iPhone</span> 15 国行原封未激活5G手机 无锡苏州闪送,740378895712,13,江苏 苏州,0,1,1,0,0,A16 仿生芯片,4800,20,,1,4800
鸿禧高科Digital City,3198.0,Apple/苹果 <span class=H>iPhone</span> 13 Pro Max全网通5G手机<span class=H>iPhone</span>13正品13promax,742511239430,3,广东 深圳,1,1,1,0,1,A15,1200,20,,1,1200
成都IT店,3769.0,Apple/苹果 <span class=H>iPhone</span> 13全新官方正品原封国行5G花呗分期现货,655911945508,4,四川 成都,0,0,1,0,1,A15,1200,20,,1,1200
创行数码,3488.0,Apple/苹果 <span class=H>iPhone</span> 14原装国行正品全网通双卡双待苹果14plus手机,773210666375,22,广东 深圳,0,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
顺顺通数码,1866.0,现货Apple/苹果 <span class=H>iPhone</span> 12 手机苹果12 国行双卡全网通5G 邮顺丰,738751425437,12,广东 深圳,0,0,1,0,0,A14,1200,20,,1,1200
芒果通讯,1178.0,Apple/苹果 <span class=H>iPhone</span> XR国行双卡XS Max备用机双卡4g6.5寸手机6.1,772674101718,84,上海,0,1,1,0,0,A12,1200,20,,1,1200
成都科技前沿通讯,3439.0,成都闪送Apple/苹果 <span class=H>iPhone</span> 13手机国行现货苹果官网13顺丰速发,681946734753,8,四川 成都,0,0,1,0,1,A15,1200,20,,1,1200
淘优品甄选正品体验店,8399.0,闪送自取Apple/苹果 <span class=H>iPhone</span> 15 Pro Max原色钛金属 国行现货 蓝色,739033504250,10,上海,1,0,1,0,1,A17 Pro 芯片,4800,20,,1,4800
乐嘉乐数码,3118.0,Apple/苹果<span class=H>iPhone</span>13ProMax双卡双待12promax全网通现货原装正品5G,772377840518,47,广东 广州,0,1,1,0,0,A13 仿生,1200,20,,1,1200
Siri App Store优品,1658.0,Apple/苹果 <span class=H>iPhone</span> XS Max 原装国行双卡苹果xs全网通4Gxsmax手机,744882137618,10,香港 九龙,0,1,1,0,1,A12,1200,20,,1,1200
喜聚堂数码店,1700.0,Apple/苹果 <span class=H>iPhone</span> 11原装正品苹果11手机国行双卡<span class=H>iphone</span>11全网通,766305902885,40,广东 深圳,0,1,1,0,0,A13,1200,20,,1,1200
欧佰派数码专营店,2498.0,【1年换新】Apple/苹果 <span class=H>iPhone</span>12Pro Max国行正品5G苹果手机12Pro双卡双待苹果12全网通官方旗舰店,776022901726,17,广东 深圳,0,1,1,0,0,A14,,0,6.7,1,0
