shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
淘亮机商城,9999.0,Apple/苹果 iPhone 14 Pro Max 苹果14pro三网双卡5G手机 灵动岛,771002298697,200,广东 深圳,0,1,1,0,1,A16 仿生芯片,4800,20,,1,4800
iPhone中国大陆渠道仓,2266.0,现货Apple/苹果 iPhone 12 Pro Max正品国行5G全网通手机分期免息,772687316200,25,广东 深圳,0,0,1,0,0,A14,1200,20,,1,1200
华益数码通讯,9999.0,vivo X Fold3 Pro国行正品vivo折叠屏手机超薄全新上市,775632253685,0,广东 深圳,0,0,1,0,0,第三代骁龙8,5000+5000+6400,100,,3,6400
中国移动手机官方旗舰店,4659.0,【顺丰速发】Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span> 新款手机 官网官方旗舰店国行正品,683698082052,4,广东 广州,1,1,1,0,0,A15 仿生芯片,1200,0,6.1,1,1200
创行数码,3488.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span>原装国行正品全网通双卡双待苹果<span class=H>14</span>plus手机,773210666375,22,广东 深圳,0,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
盛远数码臻选,3479.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span>国行双卡5G全网通手机 苹果<span class=H>14</span> <span class=H>iphone</span><span class=H>14</span>Plus,773992230126,48,广东 深圳,0,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
一休数码 13年老店,3458.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span>国行双卡5G 6.1寸严选优品零售手机南京发货,766690068800,28,江苏 南京,0,1,1,0,1,A15 仿生芯片,1200,20,,1,1200
卡妮新机,2498.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span> 新款 苹果<span class=H>14</span> 原装 正品 现货发出 顺丰包邮,712795255129,24,上海,1,1,1,1,1,A15 仿生芯片,1200,20,,1,1200
杭州朗朗数码苹果实体,4210.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span>苹果<span class=H>14</span>官方正品5G旗舰机全新原封国行,683561132257,8,浙江 杭州,1,0,1,0,0,A15 仿生芯片,1200,0,,1,1200
盛创数码,3598.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>14</span> 国行正品苹果<span class=H>14</span>全网通5G <span class=H>iphone</span><span class=H>14</span>plus手机,775970769598,25,广东 深圳,0,1,1,0,0,A15 仿生芯片,1200,20,,1,1200
