shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
蓝宇数码通讯,3099.0,OnePlus/<span class=H>一加</span> Ace 2满血版骁龙®8+旗舰平台 1.5K灵犀触控屏,744297600206,1000,北京,0,0,1,0,0,高通 骁龙8+ Gen1,5000+800+200,100,,3,5000
炫和科技,2447.0,OnePlus/<span class=H>一加</span> Ace 2 Pro全新8Gen2芯片独显X7正品原封智能<span class=H>手机</span>ace,731952765084,19,陕西 西安,1,1,1,0,1,高通骁龙8Gen2,5000+800+200,150,,3,5000
OPPO欧曙专卖店,3399.0,【6期免息】OPPO <span class=H>一加</span>Ace 2 Pro oppo<span class=H>一加</span>ace2pro<span class=H>手机</span><span class=H>一加</span><span class=H>手机</span>官方旗舰店官网正品1+ace 2pro新款0ppo<span class=H>手机</span>5g,732684026020,3,江苏 南京,1,1,1,0,1,高通骁龙8Gen2,5000+800+200,150,,3,5000
信息港数码专营店,2599.0,【享6期免息+新品上市】OPPO<span class=H>一加</span> Ace 3 OnePlus新款游戏学生智能拍照5G<span class=H>手机</span>1加ace3<span class=H>一加</span>ace3 ace2官方正品,758651214608,9,广东 深圳,1,1,1,0,0,高通骁龙8 Gen2,5000+800+200,100,,3,5000
深圳铭盛达数码店,2618.0,现货顺丰当天发OnePlus/<span class=H>一加</span> Ace 2 Pro全新正品<span class=H>一加</span>ACE2PRO<span class=H>手机</span>,734412019118,2,广东 深圳,0,0,1,0,0,高通骁龙8Gen2,5000+800+200,150,,3,5000
蓝宇数码通讯,2999.0,OnePlus/<span class=H>一加</span> Ace 2满血版骁龙®8+旗舰平台 1.5K灵犀触控屏,742379932659,100,北京,0,0,1,0,0,高通 骁龙8+ Gen1,5000+800+200,100,,3,5000
OPPO手机智宏正品店,4199.0,OnePlus/<span class=H>一加</span> 12 <span class=H>手机</span> 11 ace 2 pro <span class=H>一加</span>官方旗舰店官网 <span class=H>一加</span>12,751474520213,38,广东 深圳,1,1,1,0,1,第三代骁龙®8移动平台,5000+4800+6400,100,,3,6400
OPPO手机智宏正品店,1999.0,OnePlus/<span class=H>一加</span> Ace 2V 新款旗舰店官方5G <span class=H>一加</span><span class=H>手机</span> <span class=H>一加</span>ace2v,704815401462,4,广东 深圳,1,1,1,0,1,天玑9000,6400+800+200,80,,3,6400
OPPO益成专卖店,3199.0,OPPO <span class=H>一加</span> Ace2 Pro新款上市游戏<span class=H>手机</span>5g全网通oppo<span class=H>手机</span><span class=H>一加</span>官方旗舰店官网正品ace2pro 1+0ppo,728615176139,21,广东 深圳,1,1,1,0,1,高通骁龙8Gen2,5000+800+200,150,,3,5000
简三数码,1609.0,OnePlus/<span class=H>一加</span> Ace 2电竞游戏性能全网通<span class=H>手机</span>Pro旗舰5G<span class=H>手机</span>,714652892511,17,上海,0,0,1,0,0,第一代骁龙®8+移动平台,5000+800+200,100,,3,5000
鲁信数码手机店,1969.0,OnePlus/<span class=H>一加</span> Ace 2<span class=H>手机</span>原装5G正品国行旗舰<span class=H>一加</span>ace2电竞游戏<span class=H>手机</span>,700819441271,21,河南 郑州,1,1,1,0,0,第一代骁龙®8+移动平台,5000+800+200,100,,3,5000
鲁信数码手机店,3179.0,新品OnePlus/<span class=H>一加</span> 11骁龙8Gen2双卡5g八核全网通拍照电竞游戏<span class=H>手机</span>,696288325427,21,河南 郑州,1,1,1,0,0,第二代骁龙® 8移动平台,5000+4800+3200,100,,3,5000
OPPO平实专卖店,1999.0,【24期免息】OPPO <span class=H>一加</span> Ace 3V OnePlus<span class=H>一加</span>ace2v<span class=H>手机</span>新款上市oppo1加ace2v1+ace3pro新品<span class=H>一加</span><span class=H>手机</span>官方旗舰店,704528628877,33,广东 广州,1,1,1,0,1,第三代骁龙®7+移动平台,5000+800,100,,2,5000
深圳铭盛达数码店,1768.0,现货顺丰加急发OnePlus/<span class=H>一加</span> Ace 2V全网通<span class=H>手机</span>天玑9000<span class=H>一加</span>ACE2V,706253688548,5,广东 深圳,0,0,1,0,0,天玑9000,6400+800+200,80,,3,6400
鲁信数码手机店,1939.0,新品OnePlus/<span class=H>一加</span> Ace 3V第三代骁龙®7+移动平台5500mAh直屏<span class=H>手机</span>,776185535375,1,河南 郑州,1,1,1,0,0,第三代骁龙®7+移动平台,5000+800,100,,2,5000
新思维通讯商城,2999.0,【16+512】OnePlus/<span class=H>一加</span> Ace 2 全网通5G<span class=H>手机</span> 骁龙®8+旗舰平台,749053918653,300,北京,0,0,1,0,0,高通 骁龙8+ Gen1,5000+800+200,100,,3,5000
名品数码诚信的店铺,1988.0,现货OnePlus/<span class=H>一加</span> Ace 2<span class=H>手机</span>原装5G正品国行旗舰ace2电竞游戏<span class=H>手机</span>,701591983289,13,北京,1,1,1,0,1,第一代骁龙®8+移动平台,5000+800+200,100,,3,5000
OPPO酷炫专卖店,1999.0,[6期免息] OPPO <span class=H>一加</span>Ace3V <span class=H>一加</span>ace3v<span class=H>手机</span>原装正品5g智能全网通 oppo<span class=H>手机</span>官方旗舰店官网 ace3 oppo<span class=H>手机</span>ace2v,698544304547,6,浙江 杭州,1,1,1,0,0,第三代骁龙®7+移动平台,5000+800,100,,2,5000
信息港数码专营店,1999.0,【新品6期免息】OPPO<span class=H>一加</span> Ace 3V 新款游戏学生智能5g<span class=H>手机</span><span class=H>一加</span>官方旗舰店正品oppo新品AI<span class=H>手机</span>ace3 <span class=H>一加</span>ace3v,704522568356,14,广东 深圳,1,1,1,0,1,第三代骁龙®7+移动平台,5000+800,100,,2,5000
