shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
叮当数码手机,2999.0,MIUI/小米 Xiaomi Civi 4 Pro 第三代骁龙8s 全等深微曲屏5g手机,775904919930,5,广东 深圳,1,0,0,0,0,第三代骁龙®8s移动平台,5000+1200+5000,67,,3,5000
bihee旗舰店,1779.0,24期分期/送小米原装礼Redmi K70E红米手机小米k70官方旗舰店官网,750589732509,16,上海,0,1,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
同迅数码专营店,2999.0,新品24期免息 送原装礼Xiaomi 小米Civi 4 Pro 5G手机小米Civi4pro官,775986250040,3,辽宁 大连,1,1,1,0,0,第三代骁龙®8s移动平台,5000+1200+5000,67,,3,5000
光速数码,209.0,MIUI/<span class=H>小米</span> Redmi 8A红米8a<span class=H>手机</span>7a大电池老人学生智能note7<span class=H>手机</span>,713541772501,100,广东 深圳,0,0,0,0,1,骁龙439,1200,18,,1,1200
光速数码,349.0,MIUI/<span class=H>小米</span> REDMI 9A大屏幕大电池学生老人便宜智能<span class=H>手机</span>红米12C,758383852905,200,广东 深圳,0,0,0,0,0,Helio G25,1300,10,,1,1300
布丁数码手机,1899.0,MIUI/<span class=H>小米</span> Redmi K70E 红米K70E<span class=H>手机</span>官方正品,752377825719,45,浙江 杭州,0,0,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
中国移动手机官方旗舰店,903.0,【优惠价】xiaomi/<span class=H>小米</span> Redmi Note 11 5G<span class=H>手机</span>全网通官网,660198295479,4,广东 广州,1,1,1,0,0,天玑810,5000+800+1600,33,,3,5000
机御旗舰店,778.0,【现货速发 送碎屏宝】红米Redmi Note 12 5G<span class=H>手机</span><span class=H>小米</span>官方旗舰店note12pro学生千元机官网正品<span class=H>小米</span>note12,688616558924,54,广东 深圳,1,1,1,0,1,骁龙4 Gen 1,4800+200,33,,2,4800
中国移动手机官方旗舰店,2369.0,【优惠价】MIUI/<span class=H>小米</span> Redmi K70 红米<span class=H>手机</span>5G全网通官方旗舰店正品<span class=H>小米</span><span class=H>手机</span>,753321726401,10,广东 广州,1,1,1,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000
苏宁易购官方旗舰店,2599.0,【12期免息 全版本优惠100元】Redmi K70红米<span class=H>手机</span><span class=H>小米</span><span class=H>手机</span>官方旗舰店新品上市新款旗舰K60红米k70<span class=H>小米</span>k70,644829597415,19,江苏 南京,1,0,1,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000
中国移动手机官方旗舰店,1789.0,【优惠价】Redmi Note 13 Pro+ 全网通5G<span class=H>手机</span><span class=H>小米</span>note13pro+红米官方旗舰店新款正品 5G智能<span class=H>手机</span>,765223186384,15,广东 广州,1,1,1,0,0,7200 Ultra,20000+800+200,120,,3,20000
君胜数码专营店,719.0,顺丰当天发/<span class=H>小米</span>红米Note 13 Pro 12G运行内存<span class=H>手机</span>超薄5G<span class=H>小米</span>官方旗舰正品店官网67W闪充6.67英寸直屏note13,770646007331,75,广东 深圳,1,1,1,0,0,第二代骁龙7s移动平台,20000+800+200,67,,3,20000
