shopTitle,price,title,item_id,realSales,procity
无忧通讯数码全球购,1998.00,Apple/苹果 iPhone 12苹果12ProMax国行正品苹果12双卡12pro手机,765688586038,1人付款,广东 深圳
香香数码科技,1515.00,Apple/苹果 iPhone XS Max国行双卡苹果xr全网通苹果xsmax手机,767245501515,600+人付款,广东 深圳
大风数码汇,1125.00,Apple/苹果 iPhone 11国行苹果11双卡 iPhoneXr苹果11pro免息分期,760035981617,7人付款,浙江 嘉兴
翼天下天翼电信旗舰店,4949.00,【下拉详情领100元天猫券】Apple/苹果 <span class=H>iPhone</span> 15全网通5G手机原装国行正品中国电信天翼官方旗舰店,739039383891,10人付款,江苏 南京
iOS数码港,8599.00,Apple/苹果 <span class=H>iPhone</span> 15 Pro Max 6.7英寸国行武汉市内60分钟送货,740186450884,22人付款,湖北 武汉
中国移动官方旗舰店,5949.00,【下拉详情页抢券 移动用户专享】中国移动官旗Apple/苹果 <span class=H>iPhone</span> 15 Plus 全网通 5G 双卡双待手机国行,738911502282,5人付款,浙江 杭州
禾风数码,1073.00,Apple/苹果 <span class=H>iPhone</span> XR全网通苹果xr手机<span class=H>iPhone</span>XS分期免息现货速发,733389038298,52人付款,广东 广州
千里云海科技,3888.00,Apple/苹果 <span class=H>iPhone</span> 13国行原封6.1英寸5G手机13官网旗舰西安速发,656288270537,9人付款,陕西 西安
喵速达电器官方旗舰店,8699.00,【阿里自营 下拉详情页领行业券】Apple/苹果 <span class=H>iPhone</span> 15 Pro Max 支持移动联通电信5G 双卡双待游戏手机,740227894878,200+人付款,浙江 杭州
成都IT店,3859.00,Apple/苹果 <span class=H>iPhone</span> 13全新官方正品原封国行5G花呗分期现货,655911945508,5人付款,四川 成都
瑞娜数码专营店,4899.00,苹果15 未激活 未拆封 全国联保  现货速发 Apple/苹果 <span class=H>iPhone</span> 15官方正品 5G手机 国行正品,742938059676,2人付款,河南 郑州
领域数码通讯,4498.00,Apple/苹果 <span class=H>iPhone</span> 14 2022款苹果14苹果<span class=H>iphone</span>14手机6.1英寸,684028955159,3人付款,广东 深圳
oksj数码旗舰店,4999.00,【24期分期】Apple/苹果<span class=H>iPhone</span>15新款手机,758472486424,1人付款,广东 深圳
启航数码007,3870.00,Apple/苹果 <span class=H>iPhone</span> 14 Pro国行官网正品6.1英寸资源机三网5G手机,712313249332,3人付款,广东 深圳
武汉芒果数码,4350.00,Apple/苹果 <span class=H>iPhone</span> 14国行全新原封手机<span class=H>iphone</span>14正品未激活5G现货,684509367054,6人付款,湖北 武汉
