shopTitle,price,title,item_id,realSales,procity
bihee旗舰店,4399.00,送荣耀手环+12期免息 HONOR/荣耀Magic6 5G新款智能手机鹰眼相机官方,758366020726,3人付款,上海
信息港数码专营店,1099.00,【优惠900元】<span class=H>OPPO</span> K10x <span class=H>oppo</span>k10x手机新款上市 <span class=H>oppo</span>手机官方旗舰店官网 <span class=H>oppo</span>k10x k11x 0ppo0学生 <span class=H>oppo</span>手机,687119273986,4人付款,广东 深圳
OPPO欧曙专卖店,1599.00,[至高减920]<span class=H>OPPO</span> K11 <span class=H>oppo</span>k11手机新款<span class=H>oppo</span>5g新品手机官方旗舰店官网k10x k11x新品0ppo限量版5g0ppok10 por,728965329771,23人付款,江苏 南京
OPPO欧曙专卖店,1799.00,【至高减1200】<span class=H>OPPO</span> Reno10 <span class=H>oppo</span>reno10新款 <span class=H>oppo</span>手机官方正品旗舰店官网10pro+十 0ppo新机5g新品限量版,714593341809,10人付款,江苏 南京
OPPO手机智宏正品店,1069.00,【现货直降】<span class=H>OPPO</span> K11x <span class=H>oppo</span>手机 <span class=H>oppo</span>官方旗舰店 K10x <span class=H>oppo</span>k11x,726820225728,2人付款,广东 深圳
淘好货优选手机店,2499.00,<span class=H>OPPO</span> Reno11 5000万单反级人像三摄 天玑8200旗舰芯片 5G手机,762997317173,29人付款,北京
同步飞扬旗舰店,2099.00,当天发【可减500送碎屏宝等】<span class=H>OPPO</span>一加 Ace 2 5G手机官方旗舰店正品原神新品ace2pro游戏机竞速版ace3加1+2v,698919529966,1人付款,广东 深圳
久汇数码专营店,2628.00,当天发货分期免息送一年碎屏险<span class=H>OPPO</span>一加 Ace 2 Pro5GOnePlus官方旗舰店正品ace2pro原神版新款游戏手机,729715934830,8人付款,广东 深圳
OPPO手机红星正品店,1599.00,【12期免息】<span class=H>OPPO</span> K11 <span class=H>oppo</span>k11 5g官方旗舰店手机官方正品k11xk10,729261691402,61人付款,广东 深圳
优品行货数码店,1763.00,正品<span class=H>OPPO</span> 一加 Ace 2V新款5G直屏拍照游戏性能手机一加ace2v,707865677586,52人付款,广东 深圳
OPPO欧欧专卖店,1399.00,[新品上市]<span class=H>OPPO</span> A2 <span class=H>oppo</span>a2 手机 <span class=H>oppo</span>手机官方旗舰店官网正品 5g智能全网通 a2pro a2x a1pro a2m <span class=H>oppo</span>手机,746418783701,23人付款,浙江 杭州
喵速达电器官方旗舰店,3699.00,【自营】<span class=H>OPPO</span> Reno10 5G手机 120Hz OLED 超清曲面屏 6400 万水光人像镜头游戏拍照,717062049484,0人付款,浙江 杭州
佳惠兴通数码专营店,1499.00,【新品上市】  <span class=H>OPPO</span> K11 <span class=H>oppo</span>k11 5g智能全网通 <span class=H>oppo</span>手机新款上市2023 k11x k10x <span class=H>oppo</span>手机官方正品旗舰店,579474780792,33人付款,广东 深圳
凌诚数码商城,1378.00,<span class=H>OPPO</span> K11全网通5G手机全新官方正品<span class=H>OPPO</span>K11学生手机<span class=H>oppo</span>k11x k10,736554613082,30人付款,山东 济南
OPPO官方旗舰店,5499.00,<span class=H>OPPO</span> Find X6 Pro 5G 旗舰双芯手机 100w超级闪充潜望长焦防水抗水哈苏<span class=H>oppo</span>旗舰店正品三主摄,706889950572,14人付款,广东 东莞
翼天下天翼电信旗舰店,1099.00,【国行正品 全国联保】<span class=H>OPPO</span> A56s <span class=H>oppo</span>a56s手机 <span class=H>oppo</span>手机官方旗舰店官网正品0ppo a96 a97 opopa58 a57,717778502792,0人付款,江苏 南京
OPPO欧欧专卖店,2099.00,【6期免息】<span class=H>OPPO</span>一加Ace2 手机 <span class=H>oppo</span>手机官方旗舰店官网正品 5g智能全网通 oneplus一加11pro 一加ace 2 pro,698938631235,23人付款,浙江 杭州
中国移动官方旗舰店,2619.00,<span class=H>OPPO</span>一加 Ace 2 Pro 中国移动官旗OnePlus新款游戏学生智能拍照5G手机第二代骁龙8享<span class=H>OPPO</span>官方正品,735195973656,19人付款,浙江 杭州
OPPO手机智宏正品店,2599.00,<span class=H>OPPO</span> 一加 Ace 3 一加官网旗舰店官方 ace2Pro 5g手机 一加 ace 3,758493630148,48人付款,广东 深圳
佳惠兴通数码专营店,839.00,送人<span class=H>OPPO</span> K9x <span class=H>oppo</span>k9x老人手机新款<span class=H>oppo</span>学生手机官方正品旗舰店<span class=H>oppo</span> k9x新品k10x限量版5g 0ppok11xpro全网通,664790249199,20人付款,广东 深圳
承虹通讯,900.00,原装正品 <span class=H>OPPO</span> K10x 全网通5G新手机<span class=H>oppo</span>k10x <span class=H>OPPO</span>k10x骁龙芯电竞,685062554674,92人付款,广东 深圳
阿布的数码屋,1705.00,官方正品<span class=H>OPPO</span> Reno10全新速发学生电竞游戏摄影手机<span class=H>oppo</span>reno10 5g,734381849926,1人付款,广东 深圳
中国移动手机官方旗舰店,1929.00,【顺丰速发】<span class=H>OPPO</span>一加 Ace 2 OnePlus ace2新款游戏旗舰智能5G手机满血版骁龙8+处理器,702336265365,11人付款,广东 广州
喵速达电器官方旗舰店,2099.00,【自营】<span class=H>OPPO</span> 一加 Ace2 手机新款游戏旗舰5G手机新品上市正品官方旗舰店官网,714410477015,4人付款,浙江 杭州
名品数码诚信的店铺,2398.00,新款OnePlus<span class=H>OPPO</span> 一加 Ace 2 Pro5G旗舰手机一加ace2官方正品二pr,738062543511,14人付款,北京
承虹通讯,1417.00,新品上市 <span class=H>OPPO</span> K11 旗舰影像大电池内存正品5g手机<span class=H>oppo</span>k11x骁龙芯,731853025611,11人付款,广东 深圳
oksj数码旗舰店,2999.00,分期免息送碎屏保<span class=H>OPPO</span>一加Ace3新款5G全网通手机官方正品旗舰店官网正品一加ace3新品ace2pro学生手机,758507328586,1人付款,广东 深圳
诚信实拍数码,1108.00,顺丰正品 <span class=H>OPPO</span> K11x  全网通5G手机 游戏学生老人    <span class=H>oppo</span>k11x,722131213478,2人付款,广东 深圳
OPPO手机智宏正品店,1799.00,<span class=H>OPPO</span> Reno10 <span class=H>oppo</span>reno10 手机新品 <span class=H>oppo</span>手机旗舰店官网 reno10pro,719197391101,3人付款,广东 深圳
喵速达电器官方旗舰店,1399.00,【自营】<span class=H>OPPO</span> K10 5G手机拍照智能新款电竞游戏学生<span class=H>oppo</span>手机官网旗舰店官方<span class=H>oppo</span>k10x,720478654372,47人付款,浙江 杭州
OPPO手机平实正品店,3199.00,<span class=H>OPPO</span> Reno11 Pro <span class=H>oppo</span>reno11pro 手机新品 <span class=H>oppo</span>手机旗舰店官网,718911861035,5人付款,广东 广州
喵速达电器官方旗舰店,3999.00,【自营 收藏加购享优先发货】<span class=H>OPPO</span> Find X7 哈苏大师影像年度旗舰5G手机 <span class=H>oppo</span> find x7学生游戏拍照5g手机,760732805797,2人付款,浙江 杭州
中国联通官方旗舰店,2599.00,【12期免息】<span class=H>OPPO</span> 一加 Ace3 手机官方旗舰店官网正品一加ace3全网通5G游戏手机1加ace 2pro ace2 一加12,705034742398,1人付款,广东 广州
亿时代数码店,1623.00,新品上市<span class=H>OPPO</span> A2 Pro 5G大电池67W闪充智能曲屏手机<span class=H>oppo</span> a2pro,740649955282,18人付款,广东 深圳
亿时代数码店,1403.00,新款正品<span class=H>OPPO</span> K11索尼影像长寿100W闪充5G支持NFC直屏手机<span class=H>oppo</span>k11,730642409517,4人付款,广东 深圳
中国电信官方旗舰店,1374.00,[新品上市]<span class=H>OPPO</span> A2 Pro # <span class=H>oppo</span>a2pro手机新款上市<span class=H>oppo</span>手0ppoa56sa1手机5G全网通新款<span class=H>oppo</span>官方旗舰店官网正品,738921638566,3人付款,江苏 南京
OPPO手机平实正品店,2549.00,<span class=H>OPPO</span> 一加 Ace2 Pro 手机 一加ace2pro新款上市 <span class=H>oppo</span>官方旗舰店,732366148347,3人付款,广东 广州
诚信实拍数码,1438.00,正品 <span class=H>OPPO</span> K11 全网通5G手机骁龙782G  100W快充<span class=H>oppo</span>k11游戏电竞,730676233064,5人付款,广东 深圳
OPPO手机智宏正品店,3199.00,<span class=H>OPPO</span> Reno11 Pro <span class=H>oppo</span>手机 <span class=H>oppo</span>手机旗舰店官网 <span class=H>oppo</span>reno11Pro,748783366637,6人付款,广东 深圳
OPPO平实专卖店,1369.00,[6期免息]<span class=H>OPPO</span> A1 Pro <span class=H>oppo</span>a1pro手机新款上市<span class=H>oppo</span>手机官方旗舰店官网正品a1pro新机0ppo手机限量5ga93 a55s,692504254561,3人付款,广东 广州
奥尔玛购物,360.00,<span class=H>OPPO</span> A53 5G 全网通6.5英寸 超薄天玑720处理器 智能手机,758320739483,26人付款,广东 深圳
啊牛严选数码,558.00,<span class=H>OPPO</span> A72 新品5G全网通 6.5英寸大屏 天玑720 高清拍照智能手机,767665526775,7人付款,河南 郑州
OPPO欧佳专卖店,799.00,【优惠200】<span class=H>OPPO</span> A36 <span class=H>oppo</span>a36手机新款上市a11s a57 a32 a35 <span class=H>oppo</span>手机旗舰店官方官网正品0ppo0学生老人机a36,673397285031,72人付款,广东 广州
苏宁易购官方旗舰店,2599.00,【赠耳机+充电宝】一加 Ace 2新品手机 一加ace2官方正品旗舰手机<span class=H>oppo</span>官网智能拍照全网通5G手机XD4,698945023894,1人付款,浙江 金华
苏宁易购官方旗舰店,3999.00,【12期免息赠<span class=H>OPPO</span>耳机】<span class=H>OPPO</span> Find X7 旗舰新品5G智能拍照手机天玑9300苏宁官方旗舰店Find X7系列 2067,759977333142,2人付款,广东 深圳
OPPO欧欧专卖店,799.00,【立减200】<span class=H>OPPO</span> A36 <span class=H>oppo</span>a36手机新款 <span class=H>oppo</span>手机旗舰店 官方正品a93 0ppo新品a11s新机a32手机全网通<span class=H>oppo</span>a36,665449600080,33人付款,浙江 杭州
金钊通讯,5186.00,秒发<span class=H>OPPO</span> Find N3 Flip 小折叠屏<span class=H>oppo</span>findn3flip正品拍照5G手机,736296410436,12人付款,广东 深圳
入痴科技,748.00,<span class=H>OPPO</span> Reno11 5G新款旗舰智能手机全面屏三网通大内存超薄6.8寸,768287417681,17人付款,广东 深圳
维亿乐手机专营店,599.00,现货速发/分期免息 HUAWEI/华为畅享 60 手机6000mAh长续航直面屏,753461951435,26人付款,广东 深圳
OPPO益成专卖店,1799.00,[咨询优惠]<span class=H>OPPO</span> Reno10 5g拍照新款<span class=H>oppo</span>reno10手机 <span class=H>oppo</span>手机旗舰店官网官方正品0ppo新品Reno9  Reno11 Pro,714970923624,17人付款,广东 深圳
深圳铭盛达数码店,1438.00,现货顺丰加急发<span class=H>OPPO</span> K11全新正品骁龙782G处理器<span class=H>OPPO</span>K11 5G手机,731108805361,3人付款,广东 深圳
凌诚数码商城,1388.00,<span class=H>OPPO</span> A2 Pro新品5G全网通手机天玑7050曲屏手机<span class=H>oppo</span>a2pro   a1pro,741203003488,22人付款,山东 济南
优品手机数码城,628.00,<span class=H>OPPO</span> A93S  天玑700 双模5G 6.5英寸90hz大屏大内存快充智能手机,752591033213,100+人付款,广东 广州
OPPO欧欧专卖店,1099.00,[3期免息]<span class=H>OPPO</span> A96 <span class=H>oppo</span>a96手机 <span class=H>oppo</span>手机官方旗舰店官网正品 0ppo 5g智能全网通a97 a57 a93 a53 a58 a1 pro,666569355591,51人付款,浙江 杭州
OPPO官方旗舰店,1099.00,官网<span class=H>OPPO</span> K10x官网大电池拍照智能全面屏新款电竞游戏<span class=H>oppo</span>手机官方旗舰店学生备用老人机<span class=H>oppo</span>k10x手机正品,685342162143,500+人付款,广东 东莞
喵速达电器官方旗舰店,1099.00,【自营】<span class=H>OPPO</span> K11X 5G手机新品上市<span class=H>oppo</span>官方旗舰店超级闪充游戏拍照学生老人手机,716823524667,0人付款,浙江 杭州
能良数码官方旗舰店,2099.00,[新品上市] <span class=H>OPPO</span> Reno11 <span class=H>oppo</span>reno11 手机新款 <span class=H>oppo</span>官网 正品5g智能全网通reno10 pro+十 <span class=H>oppo</span>手机正品官网,748569908535,1人付款,广东 东莞
能良数码官方旗舰店,1599.00,【官方正品 顺丰包邮】 <span class=H>OPPO</span> K11 <span class=H>oppo</span>k11 5g智能全网通 <span class=H>oppo</span>手机新款上市2023 k11x k10x <span class=H>oppo</span>手机官网正品,729845247372,22人付款,浙江 金华
OPPO欧佳专卖店,1799.00,【6期免息】<span class=H>OPPO</span> Reno10 <span class=H>oppo</span>reno10官方旗舰店官网正品智能5g新款 0ppo reno9 10pro+十reno11新品<span class=H>oppo</span>手机,716817405729,12人付款,广东 深圳
OPPO酷炫专卖店,1399.00,【6期免息】<span class=H>OPPO</span> A2 <span class=H>oppo</span>a2 手机 <span class=H>oppo</span>手机官方旗舰店官网正品 5g智能全网通0ppo a1 a36 a2pro a1pro手机,715548843388,21人付款,浙江 杭州
承虹通讯,1265.00,新品现货<span class=H>OPPO</span> K10 全网通5G手机<span class=H>oppo</span>k10 天玑8000max <span class=H>oppo</span>k10pro,674484635677,2人付款,广东 深圳
能良数码官方旗舰店,1799.00,[12期免息 咨询享优惠] <span class=H>OPPO</span> Reno10 <span class=H>oppo</span>reno10新款手机5g新品 <span class=H>oppo</span>手机官网正品手机0ppo reno11新品正品,715008287620,5人付款,浙江 金华
OPPO欧欧专卖店,1599.00,<span class=H>OPPO</span> K11 <span class=H>oppo</span>k11 手机官方正品 <span class=H>oppo</span>手机官方正品旗舰店官网 <span class=H>oppo</span>手机新款上市2023 5g智能手机全网通游戏,729824514276,12人付款,浙江 杭州
翼天下天翼电信旗舰店,1999.00,<span class=H>OPPO</span> Reno10 5G 智能拍照手机快充官方正品电竞游戏影像手机旗舰店reno9reno8,720100457609,0人付款,江苏 南京
OPPO酷炫专卖店,2069.00,【6期免息】<span class=H>OPPO</span>一加Ace2 手机 <span class=H>oppo</span>手机官方旗舰店官网正品 5g智能全网通 oneplus一加12pro 一加ace 2 pro,698544304547,6人付款,浙江 杭州
OPPO欧欧专卖店,999.00,【立减700】<span class=H>OPPO</span> K9x <span class=H>oppo</span>k9x手机新款上市<span class=H>oppo</span>手机旗舰店官方官网k10 pro新品k9pro opp0新机5g手机全网通,664674841863,22人付款,浙江 杭州
中国移动官方旗舰店,4299.00,<span class=H>OPPO</span> 一加12 中国移动官旗手机原装正品 <span class=H>oppo</span>手机官方旗舰店官网 5g智能全网通ace 2 pro一加11 <span class=H>oppo</span>手机,756713182790,0人付款,浙江 杭州
oksj数码旗舰店,2299.00,24期免息顺丰速发<span class=H>oppo</span>一加Ace 2新款5G手机官方官网旗舰店正品一加ace2新品骁龙8+acepro系列竞速版游戏手机,680214090535,7人付款,广东 深圳
德胜通讯数码,380.00,<span class=H>OPPO</span> A11 全面屏高通骁龙665超大电池 超长待机老人学生游戏手机,768404343046,26人付款,广东 深圳
优品行货数码店,1633.00,新品上市<span class=H>OPPO</span> A2 Pro超大内存67W5000毫安电池学生曲屏手机a2pro,740242560131,3人付款,广东 深圳
OPPO华诺数码,825.00,<span class=H>OPPO</span> K9X全网通5G 5000mAh大电池双卡双待6400万像素拍照游戏手机,743288967701,100+人付款,广东 深圳
千云购物小站,528.00,<span class=H>OPPO</span> A72 新品5G全网通 6.5英寸大屏 天玑720 高清拍照智能手机,755301771678,200+人付款,广东 深圳
金鑫数码88,635.00,<span class=H>OPPO</span> A58新款5G全网通智能手机a58学生指纹超薄美颜官方正品手机,769360033796,44人付款,广东 深圳
米多科技数码,678.00,<span class=H>OPPO</span> A93S 天玑700 双模5G 6.5英寸90hz大屏大内存快充智能手机,752353032038,34人付款,浙江 杭州
诚信通讯 认准老店,8888.00,【全新未激活】<span class=H>OPPO</span> Find N3折叠屏<span class=H>oppo</span>findn3第二代骁龙8+5G手机,747901469780,14人付款,江苏 南京
喵速达电器官方旗舰店,799.00,【阿里官方自营】<span class=H>OPPO</span> A36 <span class=H>oppo</span>a36手机新款上市a11s a57 a32 a35 <span class=H>oppo</span>手机旗舰店官方官网正品0ppo0学生老人,739255987636,2人付款,浙江 杭州
OPPO欧佳专卖店,2099.00,【新品上市】<span class=H>OPPO</span> 一加Ace 2v <span class=H>oppo</span>一加ace 2v 一加手机5g官方旗舰店官网正品1+ ace 3  ace新款 0ppo一加12,704529160030,17人付款,广东 深圳
OPPO华诺数码,1008.00,<span class=H>OPPO</span> K11x正品现货全网通5G学生骁龙<span class=H>OPPO</span> K11X手机<span class=H>OPPO</span> K10X手机,742937856177,24人付款,广东 深圳
OPPO熊鑫专卖店,1399.00,【至高优惠420】<span class=H>OPPO</span> A2 Pro新款上市<span class=H>oppo</span>a2pro手机<span class=H>oppo</span>手机官方旗舰店官网0ppo手机,738277912356,8人付款,上海
OPPO欧曙专卖店,1099.00,[至高优惠500]<span class=H>OPPO</span> K11x <span class=H>oppo</span>k11x手机新款<span class=H>oppo</span>手机官方旗舰店官网k10x新品k9x限量版5g0ppok10pro新机7x,714594885019,14人付款,江苏 南京
京基伟业数码科技,448.00,<span class=H>OPPO</span> A56 全网通5G 6.52英寸双卡双待大屏大电池老人学生智能手机,746247384818,61人付款,广东 深圳
阿布的数码屋,4350.00,正品速发<span class=H>OPPO</span> Find X6 Pro新款大内存全面屏拍照手机find x6 pro,708229966460,16人付款,广东 深圳
中国电信官方旗舰店,1299.00,【全国联保】<span class=H>OPPO</span># A56s 5G全网通拍照智能手机学生电竞游戏大内存 官网<span class=H>oppo</span>旗舰店正品 a57 a58 a56s a97,700344650959,9人付款,江苏 南京
优品数码科技专店,630.00,<span class=H>OPPO</span> A93S  天玑700 双模5G 6.5英寸90hz大屏大内存快充智能手机,751753719679,21人付款,上海
OPPO益成专卖店,2061.00,【立减800】<span class=H>OPPO</span> 一加 Ace 2V全网通5g手机新款上市<span class=H>oppo</span>手机官方旗舰店官网0ppo新品oρpo一加ace2v pro11,705264579198,16人付款,广东 深圳
阿布的数码屋,1850.00,<span class=H>OPPO</span> Reno11官方正品5g全网通<span class=H>oppo</span> reno11拍照手机<span class=H>oppo</span>reno11pro,749066604468,11人付款,广东 深圳
鼎峰数码电子,373.00,<span class=H>OPPO</span> Reno6 全网通65w闪充美颜拍照Reno4游戏手机r17高性价比r15x,738748741001,100+人付款,广东 深圳
优品数码科技专店,398.00,<span class=H>OPPO</span> A72智能手机5G全网通天玑720大屏幕老人机高续航备用学生机,751174828425,200+人付款,上海
诚源科技数码,2298.00,<span class=H>OPPO</span> Reno10 Pro,731912070005,4人付款,北京
