shopTitle,price,title,item_id,realSales,procity
能良数码官方旗舰店,4719.00,12期免息vivo X100 Pro 5G手机新品 vivox100pro新款 vivox100 vi,746357023392,7人付款,广东 东莞
佰分购旗舰店,4999.00,24期免息 赠品牌豪礼Meizu/魅族21Pro开放式AI终端魅族官方旗舰店骁龙,720119612778,4人付款,广东 深圳
雅佳盛数码专营店,1488.00,5G新品/分期免息! Huawei/华为80系列 12+256GB 1.6亿影像快充游,760953921175,28人付款,广东 深圳
vivo航鹰专卖店,1019.00,【大量现货】<span class=H>vivo</span> iQOO Z8x手机iqooz8x旗舰iqooz8官方iq00店iq爱酷iqqo iooq icoo ipoo <span class=H>vivo</span>iq vovo z7 z7x,707706474241,22人付款,浙江 杭州
能良数码官方旗舰店,2049.00,12期免息/<span class=H>vivo</span> S18 新品5G拍照手机 <span class=H>vivo</span>s18手机 全面屏 5G全网通 旗舰店官方正品S17Pro S17,752719823156,11人付款,广东 东莞
鼎诺数码科技,1416.00,新品现货 <span class=H>vivo</span> iQOO Z8全网通5G手机 游戏拍照 爱酷z8x iqooz8x,736865290046,19人付款,河南 郑州
苏宁易购官方旗舰店,969.00,<span class=H>vivo</span> Y78t 新品全面屏游戏拍照学生5G智能手机大电池官方旗舰店老人机Y78+ Y77,748648004902,14人付款,浙江 金华
vivo航鹰专卖店,627.00,<span class=H>vivo</span> Y33t手机<span class=H>vivo</span>y33t全新<span class=H>vivo</span>y53t官方y55t旗舰y33店vovo学生y78大屏y78+全网通y78t备用机y100老年机新款,741971820020,13人付款,浙江 杭州
中国移动手机官方旗舰店,1209.00,<span class=H>vivo</span> Y100i新品5G智能拍照手机大内存大电池长续航<span class=H>vivo</span>官方旗舰店正品,757402230651,75人付款,广东 广州
iQOO手机官方旗舰店,1699.01,【闪降专用链接】<span class=H>vivo</span> iQOO Z8手机官方旗舰店新品上市官网正品学生120W闪充大内存手机iqoo z7 z7x,756529680462,11人付款,广东 东莞
智轩优品数码专营,2389.00,选赠TWS耳机/<span class=H>vivo</span> S17 5G手机 <span class=H>vivo</span>s17新手机 <span class=H>vivo</span>s17pro <span class=H>vivo</span> s17新品 s17 <span class=H>vivo</span>s16 s16手机<span class=H>vivo</span> <span class=H>vivo</span>手机,718573360989,3人付款,广东 深圳
vivo五通专卖店,2299.00,【现货速发】 <span class=H>vivo</span> iQOO Neo8 5G全网通手机iqooneo8 iqooneo8手机neo8pro neo7 neo7se <span class=H>vivo</span>手机,719176179741,4人付款,广东 东莞
久汇数码专营店,1189.00,当天发货24期免息送豪礼<span class=H>vivo</span> iQOO Z8x手机官方旗舰店新品上市官网正品学生大电池大内存手机iqoo z7 z7x/Z8,729880251600,5人付款,广东 深圳
