shopTitle,price,title,item_id,realSales,procity
迈微数码,1470.00,Samsung/三星 Galaxy Note10+SM-N9760 5G全网通国行双卡曲屏手机,696964304781,31人付款,上海
优品数码正品店,4760.00,Samsung/三星 Galaxy S23 Ultra SM-S9180新款S23+ 全网通5G手机,701906584917,21人付款,广东 深圳
永盛通讯连锁机构,468.00,Samsung/<span class=H>三星</span> Galaxy A8s SM-G8870全面屏A6S/G6200<span class=H>手机</span>A9S/A9200,629496730700,18人付款,广东 东莞
旺达通讯科技,428.00,Samsung/<span class=H>三星</span> Galaxy A6S SM-G6200全面屏6.0寸双卡全网通4G<span class=H>手机</span>,644652191012,14人付款,广东 深圳
星盟正品手机店,248.00,Samsung/<span class=H>三星</span> J3109/J7109/G6000/G5500 5.0英寸屏幕智能老人<span class=H>手机</span>,675627951198,4人付款,广东 深圳
星期衣数码,55.10,<span class=H>三星</span>e1200R移动版按键无摄像头工厂保密老年机学生老人<span class=H>手机</span>儿童,753681435835,100+人付款,广东 深圳
星期衣数码,85.30,<span class=H>三星</span>E1190移动老人机翻盖接听老款老年机无摄像头备用学生小<span class=H>手机</span>,768030240004,77人付款,广东 深圳
华兴数码手机店,680.00,Samsung/<span class=H>三星</span> Galaxy F52 5G SM-E5260 全网通5G双卡双待<span class=H>手机</span>,763751011524,95人付款,广东 深圳
千千数码68号,730.00,Samsung/<span class=H>三星</span> Galaxy S10 SM-G9730曲面屏10e+国行全三网通5G<span class=H>手机</span>,711867268399,40人付款,广东 深圳
糖糖数码商品店,780.00,Samsung/<span class=H>三星</span> GALAXY S9S9+Plus盖乐世S9国行G9650全网通全新<span class=H>手机</span>,699128903872,53人付款,上海
欢欢手机专家,999.00,Samsung/<span class=H>三星</span>Galaxy S20FE骁龙865全新正品全面屏安卓智能<span class=H>手机</span>,747173060713,96人付款,广东 深圳
三星正品店,830.00,原封国行Samsung/<span class=H>三星</span> GALAXY S9+plus双卡全网通4G曲屏<span class=H>手机</span>s10e,687538440456,58人付款,浙江 宁波
天使的眼泪863,88.00,<span class=H>三星</span>1190移动老人<span class=H>手机</span>翻盖接听老款老年机无摄像头备用学生小<span class=H>手机</span>,769715342544,62人付款,广东 深圳
永达通讯数码,340.00,Samsung/<span class=H>三星</span> SM-J3300全网通电信4G 安卓智能学生 备用 老人<span class=H>手机</span>,642173841657,1人付款,广东 深圳
富诚数码,878.00,Samsung/<span class=H>三星</span> Galaxy Z Flip3 5G SM-F7110折叠屏 晓龙888全网通,751113839382,88人付款,广东 深圳
永盛通讯连锁机构,438.00,速发Samsung/<span class=H>三星</span> GALAXY C8 SM-C7100面部识别双摄全网通4G<span class=H>手机</span>,607836874529,3人付款,广东 东莞
轩垲科技,745.00,Samsung/<span class=H>三星</span> Galaxy A70s SM-A7070全网通4G全面屏拍照高清<span class=H>手机</span>,760245366085,16人付款,广东 深圳
轩垲科技,585.00,Samsung/<span class=H>三星</span> Galaxy A40s SM-A3050全网通4G原装正品学生<span class=H>手机</span>,688146374162,4人付款,广东 深圳
旺达通讯科技,528.00,Samsung/<span class=H>三星</span> Galaxy A60 SM-A6060全网通后三摄全面屏6.3寸<span class=H>手机</span>,624778703623,5人付款,广东 深圳
糖糖数码商品店,860.00,全新原封正品Samsung/<span class=H>三星</span> Galaxy S10+ SM-G9750加s10plus<span class=H>手机</span>4G,699135459448,23人付款,上海
永盛通讯连锁机构,558.00,Samsung/<span class=H>三星</span> Galaxy A9 Star SM-G8850/A6050全面屏全网通4G<span class=H>手机</span>,573276294044,4人付款,广东 东莞
新泰时尚,1630.00,Samsung/<span class=H>三星</span> Galaxy S20 SM-G9810国行双卡全网通5G曲屏<span class=H>手机</span>S20+,707468240823,68人付款,广东 广州
千千数码68号,1270.00,Samsung/<span class=H>三星</span> Galaxy Note10+ SM-N9760 5G国行双卡<span class=H>手机</span>全网通N10,718386636637,40人付款,广东 深圳
永盛通讯连锁机构,438.00,Samsung/<span class=H>三星</span> GALAXY C8 SM-C7108/C5000/C7000/C9000 Pro<span class=H>手机</span>,629763517452,1人付款,广东 东莞
旺达通讯科技,558.00,全新Samsung/<span class=H>三星</span> Galaxy A9 Star SM-G8850 star live A6050<span class=H>手机</span>,629704688629,4人付款,广东 深圳
升兴手机数码,776.00,Samsung/<span class=H>三星</span> Galaxy A71 SM-A7160 A51605G国行5G全网通,713675214185,8人付款,广东 深圳
永盛通讯连锁机构,488.00,Samsung/<span class=H>三星</span> Galaxy C5 Pro SM-C5010 C7010全网通4G双卡<span class=H>手机</span>,630653710820,5人付款,广东 东莞
轩垲科技,565.00,Samsung/<span class=H>三星</span> Galaxy A60 SM-A6060全网通4G双卡双待原装<span class=H>手机</span>,668404114832,5人付款,广东 深圳
数码通讯科技店,770.00,Samsung/<span class=H>三星</span> Galaxy A51 5G SM-A5160全网通双卡双待5G<span class=H>手机</span>,681237393590,9人付款,广东 深圳
旺达通讯科技,478.00,速发Samsung/<span class=H>三星</span> Galaxy C7 Pro SM-C7010全网通4G双卡智能<span class=H>手机</span>,617762860450,5人付款,广东 深圳
芬芳正品数码店,422.00,Samsung/<span class=H>三星</span> Galaxy A6S SM-G6200全面屏6.0寸全网通4G<span class=H>手机</span>现货,645504698887,5人付款,广东 深圳
旺达通讯科技,420.00,Samsung/<span class=H>三星</span> GALAXY C8 SM-C7100全网通4G双卡双待正品智能<span class=H>手机</span>,732139906421,3人付款,广东 深圳
轩垲科技,705.00,Samsung/<span class=H>三星</span> Galaxy A70 SM-A7050全面屏拍照高清原装正品全网通,668034505966,3人付款,广东 深圳
糖糖数码商品店,1400.00,全新Samsung/<span class=H>三星</span> Galaxy S21+G9960国行S21Ultra5Gs20全网通<span class=H>手机</span>,699424043341,45人付款,上海
