shopTitle,price,title,item_id,realSales,procity
可乐严选数码,316.00,Huawei/华为 畅享10正品鸿蒙系统,756779362524,100+人付款,广东 汕头
领星数码店,669.00,Huawei/华为 畅享20 Pro全网通5G智能手机学生上网课老人千元备用,744226744341,78人付款,广东 深圳
通达数码正品商城,288.00,Huawei/<span class=H>华为</span> 畅享10官方正品全网通10plus大屏老人学生智能<span class=H>手机</span>,726707118082,100+人付款,广东 深圳
卓越电讯数码,298.00,Huawei/<span class=H>华为</span> 畅享 10e全网通智能大屏幕大电池老人学生游戏<span class=H>手机</span>,744317291575,65人付款,广东 深圳
盛世数码科技88,330.00,Huawei/<span class=H>华为</span> 畅享 10e全网通智能大屏幕大电池大音量老人智能<span class=H>手机</span>,733150441231,200+人付款,安徽 合肥
优质优品数码,268.00,Huawei/<span class=H>华为</span> 畅享9 官方正品大屏老人机学生全网通4G智能老人<span class=H>手机</span>,711965168861,18人付款,广东 深圳
改行大清仓,115.00,Huawei/<span class=H>华为</span> mate8全网通4G备用游戏指纹解锁大6寸屏老人学习<span class=H>手机</span>,759128398097,52人付款,北京
火火数码优品,180.00,Huawei/<span class=H>华为</span> 畅享8 Plus便宜<span class=H>手机</span>游戏王者工作室备用学生4G智能,746159519914,49人付款,广东 深圳
火火数码优品,200.00,Huawei/<span class=H>华为</span> 畅享9 官方正品大屏老人机学生全网通4G智能老人<span class=H>手机</span>,734676678103,14人付款,广东 深圳
红红康电子科技,189.90,Huawei/<span class=H>华为</span> NOVA 6麒麟990全网通4G游戏拍照不卡快充智能<span class=H>手机</span>NFC,752316315266,28人付款,四川 成都
中星数码商城,388.00,<span class=H>华为</span> nova 5i Pro麒麟810鸿蒙系统全网通4G老人学生工作备用<span class=H>手机</span>,768855366711,36人付款,广东 深圳
品牌数码电子新款,908.00,Huawei/<span class=H>华为</span>Mate 60 Pro正品官方旗舰P60Pro安卓荣耀100Pro5G<span class=H>手机</span>,764700847601,78人付款,广东 广州
严选优品通讯,335.00,Huawei/<span class=H>华为</span> 畅享10正品鸿蒙系统全网通大屏大字学生老人智能<span class=H>手机</span>,714381007102,12人付款,广东 广州
HVAWEI 品牌店,698.00,Huawei/<span class=H>华为</span> Nova 7全网通5G<span class=H>手机</span>麒麟985芯片官方旗舰鸿蒙系统,751791193449,300+人付款,广东 深圳
数码通讯店,428.00,Huawei/<span class=H>华为</span> NOVA 5i全面屏拍照游戏老人全网通学生智能备用<span class=H>手机</span>,762831282128,4人付款,广东 深圳
起航领域,680.00,Huawei/<span class=H>华为</span> 畅享20 Pro全网通5G智能<span class=H>手机</span>便宜学生老人百元备用机,751758892108,200+人付款,广东 惠州
改行大清仓,62.00,Huawei/<span class=H>华为</span> Mate 7 <span class=H>手机</span>4G全网通学生智能老年人备用游戏工作机,766142106208,52人付款,北京
雪山严选,558.00,HUAWEI nova 5i<span class=H>华为</span>全面屏全网通<span class=H>手机</span>官方正品nova 5i Pro,702481250992,100+人付款,广东 深圳
改行大清仓,188.00,Huawei/<span class=H>华为</span> nova 3e 全网通4G全面屏指纹低价学生备用机游戏<span class=H>手机</span>,763633287193,3人付款,北京
国产品牌手机超市,428.00,Huawei/<span class=H>华为</span> 畅享10老人机大字体大声全网通4G八核老年人智能<span class=H>手机</span>,733025676632,52人付款,江苏 南京
翼天下天翼电信旗舰店,949.00,【官网正品+顺丰优先】<span class=H>华为</span>/HUAWEI畅享60<span class=H>手机</span>官方旗舰店正品新款智能直降学生老人千元畅享60鸿蒙系统<span class=H>手机</span>,708397123615,3人付款,江苏 南京
改行大清仓,238.00,Huawei/<span class=H>华为</span> 麦芒 8 全网通128G高清大屏游戏<span class=H>手机</span> 学生备用机,765340997561,5人付款,北京
数码通讯店,328.00,Huawei/<span class=H>华为</span> nova 3i全网通备用便宜学生网课超低价老人工作<span class=H>手机</span>,748193407264,4人付款,广东 深圳
