shopTitle,price,title,item_id,realSales,procity
优品电子数码企业店铺,369.00,MIUI/小米 REDMI 9A大屏幕大电池学生老人便宜智能手机红米10a,760768829364,13人付款,广东 深圳
优品电子数码企业店铺,439.00,MIUI/小米 REDMI 10A八核大电量屏幕老人学生智能手机正品红米9A,760844851035,17人付款,广东 深圳
光速数码,229.00,MIUI/<span class=H>小米</span> Redmi 8A红米8a<span class=H>手机</span>7a大电池老人学生智能note7<span class=H>手机</span>,713541772501,100+人付款,广东 深圳
光速数码,359.00,MIUI/<span class=H>小米</span> REDMI 9A大屏幕大电池学生老人便宜智能<span class=H>手机</span>红米12C,758383852905,100+人付款,广东 深圳
龙胜数码通讯,188.00,MIUI/<span class=H>小米</span> Redmi 6双卡双待全网通红米5plus工作室抖音快手note5,668745692148,88人付款,广东 深圳
东信通讯数码城,340.00,MIUI/<span class=H>小米</span> Xiaomi 8 青春版骁龙660处理器正品全面屏高性价比商务,679451550795,97人付款,广东 深圳
深圳正品手机店铺,458.00,MIUI/<span class=H>小米</span> REDMI 10A红米9A八核大电量屏幕老人学生备用智能<span class=H>手机</span>,743096324565,94人付款,广东 深圳
深圳市远航数码手机批发中心,115.00,MIUI/<span class=H>小米</span> Redmi 12C 5000mAh八核处理器红米9A全网通4G智能<span class=H>手机</span>,756266344809,37人付款,广东 深圳
时代好机汇,238.00,MIUI/<span class=H>小米</span> Redmi 8A红米8a大电池老人<span class=H>手机</span>学生4G全网通智能<span class=H>手机</span>,723348282044,19人付款,广东 深圳
东信通讯数码城,188.00,MIUI/<span class=H>小米</span> Redmi 6全网通9A红米8A<span class=H>小米</span>5支持NFC功能公交卡门禁卡,669592549126,37人付款,广东 深圳
千金配件数码,100.00,MIUI/<span class=H>小米</span> 红米Note 4X双卡双待全网通4G老人 学生小屏幕4X<span class=H>手机</span>,732557270743,34人付款,广东 惠州
深圳正品手机店铺,278.00,MIUI/<span class=H>小米</span> 红米6 pro全网通4G全屏幕老人学生拍照游戏智能<span class=H>手机</span>,731305975647,32人付款,广东 深圳
